timestamp,vm_id,min_cpu,avg_cpu,max_cpu
0,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.525893,3.149884,1.951036
300,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.084337,2.30187,1.8143049999999998
600,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.5545200000000001,3.288533,2.183462
900,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.3050110000000001,2.9141340000000002,1.9033759999999997
1200,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,0.9291799999999999,2.449383,1.8229060000000001
1500,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.521941,3.5606809999999998,2.1092400000000002
1800,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,0.754243,2.901575,1.8792
2100,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.4810290000000002,2.7168,2.060766
2400,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.132197,2.490581,1.9130459999999998
2700,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.6392529999999998,3.195295,2.110744
3000,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.088647,3.4577440000000004,1.901318
3300,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.448569,2.5299,1.9573029999999998
3600,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.556137,2.528681,1.933329
3900,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,0.979599,2.500181,1.7811669999999997
4200,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.4047,2.630911,1.938852
4500,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.084743,3.849153,2.02738
4800,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.463584,3.126736,2.021249
5100,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.324819,2.62604,1.9366580000000002
5400,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.522486,2.607216,1.886348
5700,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.333982,3.729606,1.92323
6000,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.534709,3.245778,2.05812
6300,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.525942,2.3990099999999996,1.8933939999999998
6600,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.437792,2.5120139999999997,1.859664
6900,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.548368,2.557516,2.0626830000000003
7200,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.451546,2.370998,1.925197
7500,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.585961,3.572431,2.007945
7800,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.4498090000000001,2.9022229999999998,2.0120810000000002
8100,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.508057,2.5662380000000002,1.905444
8400,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.503617,2.800231,1.8449830000000003
8700,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.583204,4.014578,2.079113
9000,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.435748,2.691532,1.965485
9300,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.248645,3.607221,2.020139
9600,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.5586389999999999,3.8581199999999995,2.080881
9900,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.267033,2.7738549999999997,1.910638
10200,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.4405700000000001,2.501615,1.868407
10500,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.063124,3.024461,1.8981970000000001
10800,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.4457879999999999,2.457786,1.895561
11100,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.047973,3.6424830000000004,2.018973
11400,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.441323,2.807117,1.9111259999999999
11700,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.623359,5.449164,2.242696
12000,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.594553,3.103118,2.072087
12300,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.513263,2.533716,1.9214470000000001
12600,a76nShMrQHD6KLiCrhXjnpVx5uAHG4nf1agNpWa9qvIXg1SvYWL8sz4L4ar9Eh0T,1.321907,2.770567,1.89963
