timestamp,vm_id,min_cpu,avg_cpu,max_cpu
0,aB3gqxbT8LF3W34u+9HxVHvP084VWD/Qm4xMnJPFrJab1vqf8ghsH8JQk9TuQic5,2.607738,5.13199,3.7319430000000002
300,aB3gqxbT8LF3W34u+9HxVHvP084VWD/Qm4xMnJPFrJab1vqf8ghsH8JQk9TuQic5,3.138171,4.774241,3.6321760000000003
600,aB3gqxbT8LF3W34u+9HxVHvP084VWD/Qm4xMnJPFrJab1vqf8ghsH8JQk9TuQic5,2.8816479999999998,5.750898,3.802197
900,aB3gqxbT8LF3W34u+9HxVHvP084VWD/Qm4xMnJPFrJab1vqf8ghsH8JQk9TuQic5,3.118762,5.030844,3.8234230000000005
1200,aB3gqxbT8LF3W34u+9HxVHvP084VWD/Qm4xMnJPFrJab1vqf8ghsH8JQk9TuQic5,3.138778,4.7534849999999995,3.54158
1500,aB3gqxbT8LF3W34u+9HxVHvP084VWD/Qm4xMnJPFrJab1vqf8ghsH8JQk9TuQic5,2.934774,5.996023999999999,3.840759
1800,aB3gqxbT8LF3W34u+9HxVHvP084VWD/Qm4xMnJPFrJab1vqf8ghsH8JQk9TuQic5,3.206209,4.861496,3.80705
2100,aB3gqxbT8LF3W34u+9HxVHvP084VWD/Qm4xMnJPFrJab1vqf8ghsH8JQk9TuQic5,2.886749,4.851053,3.551543
2400,aB3gqxbT8LF3W34u+9HxVHvP084VWD/Qm4xMnJPFrJab1vqf8ghsH8JQk9TuQic5,3.19414,5.215877,3.84536
2700,aB3gqxbT8LF3W34u+9HxVHvP084VWD/Qm4xMnJPFrJab1vqf8ghsH8JQk9TuQic5,3.0457509999999997,5.730678,3.8359300000000003
3000,aB3gqxbT8LF3W34u+9HxVHvP084VWD/Qm4xMnJPFrJab1vqf8ghsH8JQk9TuQic5,3.148777,4.828401,3.6363730000000003
3300,aB3gqxbT8LF3W34u+9HxVHvP084VWD/Qm4xMnJPFrJab1vqf8ghsH8JQk9TuQic5,3.124948,5.179371,3.876956
3600,aB3gqxbT8LF3W34u+9HxVHvP084VWD/Qm4xMnJPFrJab1vqf8ghsH8JQk9TuQic5,3.1150290000000003,5.11494,3.7772370000000004
3900,aB3gqxbT8LF3W34u+9HxVHvP084VWD/Qm4xMnJPFrJab1vqf8ghsH8JQk9TuQic5,2.742091,4.59115,3.492082
4200,aB3gqxbT8LF3W34u+9HxVHvP084VWD/Qm4xMnJPFrJab1vqf8ghsH8JQk9TuQic5,2.719223,12.857883000000001,5.459361
4500,aB3gqxbT8LF3W34u+9HxVHvP084VWD/Qm4xMnJPFrJab1vqf8ghsH8JQk9TuQic5,3.0839529999999997,4.903435,3.853425
4800,aB3gqxbT8LF3W34u+9HxVHvP084VWD/Qm4xMnJPFrJab1vqf8ghsH8JQk9TuQic5,2.822542,4.71662,3.5389699999999995
5100,aB3gqxbT8LF3W34u+9HxVHvP084VWD/Qm4xMnJPFrJab1vqf8ghsH8JQk9TuQic5,3.098195,5.219107,3.877254
