timestamp,vm_id,min_cpu,avg_cpu,max_cpu
0,aGV5KWtIux4dWV15UbP47lb7EBTtRmR+CLBKn0Re2JNZjx/tJq5J9b5ex4gdDidu,0.688426,3.4157580000000003,1.674404
300,aGV5KWtIux4dWV15UbP47lb7EBTtRmR+CLBKn0Re2JNZjx/tJq5J9b5ex4gdDidu,0.612596,3.22648,1.498802
600,aGV5KWtIux4dWV15UbP47lb7EBTtRmR+CLBKn0Re2JNZjx/tJq5J9b5ex4gdDidu,0.774073,3.111273,1.638197
900,aGV5KWtIux4dWV15UbP47lb7EBTtRmR+CLBKn0Re2JNZjx/tJq5J9b5ex4gdDidu,0.659872,3.093903,1.571183
1200,aGV5KWtIux4dWV15UbP47lb7EBTtRmR+CLBKn0Re2JNZjx/tJq5J9b5ex4gdDidu,0.6564409999999999,3.02362,1.455838
1500,aGV5KWtIux4dWV15UbP47lb7EBTtRmR+CLBKn0Re2JNZjx/tJq5J9b5ex4gdDidu,0.817904,3.166932,1.6965849999999998
1800,aGV5KWtIux4dWV15UbP47lb7EBTtRmR+CLBKn0Re2JNZjx/tJq5J9b5ex4gdDidu,0.594653,3.3823300000000005,1.609122
2100,aGV5KWtIux4dWV15UbP47lb7EBTtRmR+CLBKn0Re2JNZjx/tJq5J9b5ex4gdDidu,0.44727,3.329619,1.488271
2400,aGV5KWtIux4dWV15UbP47lb7EBTtRmR+CLBKn0Re2JNZjx/tJq5J9b5ex4gdDidu,0.728274,3.069761,1.5903180000000001
2700,aGV5KWtIux4dWV15UbP47lb7EBTtRmR+CLBKn0Re2JNZjx/tJq5J9b5ex4gdDidu,0.44293299999999997,3.066333,1.510192
3000,aGV5KWtIux4dWV15UbP47lb7EBTtRmR+CLBKn0Re2JNZjx/tJq5J9b5ex4gdDidu,0.588358,3.542444,1.535045
3300,aGV5KWtIux4dWV15UbP47lb7EBTtRmR+CLBKn0Re2JNZjx/tJq5J9b5ex4gdDidu,0.6444380000000001,15.908184,2.206193
3600,aGV5KWtIux4dWV15UbP47lb7EBTtRmR+CLBKn0Re2JNZjx/tJq5J9b5ex4gdDidu,0.6180439999999999,3.585808,1.569784
3900,aGV5KWtIux4dWV15UbP47lb7EBTtRmR+CLBKn0Re2JNZjx/tJq5J9b5ex4gdDidu,0.606304,3.107248,1.479288
4200,aGV5KWtIux4dWV15UbP47lb7EBTtRmR+CLBKn0Re2JNZjx/tJq5J9b5ex4gdDidu,0.5380119999999999,3.478718,1.566232
4500,aGV5KWtIux4dWV15UbP47lb7EBTtRmR+CLBKn0Re2JNZjx/tJq5J9b5ex4gdDidu,0.6241800000000001,3.101968,1.56833
4800,aGV5KWtIux4dWV15UbP47lb7EBTtRmR+CLBKn0Re2JNZjx/tJq5J9b5ex4gdDidu,0.41556499999999996,3.6213319999999998,1.4768809999999999
