timestamp,vm_id,min_cpu,avg_cpu,max_cpu
0,aI1KXixY6t6jsjypH8XH+w3h05+MTWfGO8UAh3gWq5I/A8Ke27YZHmZIvAH36o3i,2.0522720000000003,5.61115,3.056668
300,aI1KXixY6t6jsjypH8XH+w3h05+MTWfGO8UAh3gWq5I/A8Ke27YZHmZIvAH36o3i,1.2295989999999999,7.5967270000000005,2.91819
600,aI1KXixY6t6jsjypH8XH+w3h05+MTWfGO8UAh3gWq5I/A8Ke27YZHmZIvAH36o3i,2.038639,3.62745,2.585019
900,aI1KXixY6t6jsjypH8XH+w3h05+MTWfGO8UAh3gWq5I/A8Ke27YZHmZIvAH36o3i,1.197214,3.528774,2.41368
1200,aI1KXixY6t6jsjypH8XH+w3h05+MTWfGO8UAh3gWq5I/A8Ke27YZHmZIvAH36o3i,2.0192189999999997,7.9318789999999995,3.157786
1500,aI1KXixY6t6jsjypH8XH+w3h05+MTWfGO8UAh3gWq5I/A8Ke27YZHmZIvAH36o3i,2.030438,10.358052,3.541401
1800,aI1KXixY6t6jsjypH8XH+w3h05+MTWfGO8UAh3gWq5I/A8Ke27YZHmZIvAH36o3i,2.153034,3.329046,2.696415
2100,aI1KXixY6t6jsjypH8XH+w3h05+MTWfGO8UAh3gWq5I/A8Ke27YZHmZIvAH36o3i,1.7867110000000002,8.057922999999999,3.378403
2400,aI1KXixY6t6jsjypH8XH+w3h05+MTWfGO8UAh3gWq5I/A8Ke27YZHmZIvAH36o3i,2.041035,3.396065,2.538392
2700,aI1KXixY6t6jsjypH8XH+w3h05+MTWfGO8UAh3gWq5I/A8Ke27YZHmZIvAH36o3i,1.046247,7.494408,2.734966
3000,aI1KXixY6t6jsjypH8XH+w3h05+MTWfGO8UAh3gWq5I/A8Ke27YZHmZIvAH36o3i,1.92403,4.166309,2.6151
3300,aI1KXixY6t6jsjypH8XH+w3h05+MTWfGO8UAh3gWq5I/A8Ke27YZHmZIvAH36o3i,2.069334,6.9898690000000006,3.032378
3600,aI1KXixY6t6jsjypH8XH+w3h05+MTWfGO8UAh3gWq5I/A8Ke27YZHmZIvAH36o3i,1.173323,6.277908999999999,2.864287
3900,aI1KXixY6t6jsjypH8XH+w3h05+MTWfGO8UAh3gWq5I/A8Ke27YZHmZIvAH36o3i,1.485957,3.3070370000000002,2.376015
4200,aI1KXixY6t6jsjypH8XH+w3h05+MTWfGO8UAh3gWq5I/A8Ke27YZHmZIvAH36o3i,1.2289889999999999,3.587714,2.419587
4500,aI1KXixY6t6jsjypH8XH+w3h05+MTWfGO8UAh3gWq5I/A8Ke27YZHmZIvAH36o3i,2.031632,6.716594000000001,3.005478
4800,aI1KXixY6t6jsjypH8XH+w3h05+MTWfGO8UAh3gWq5I/A8Ke27YZHmZIvAH36o3i,1.761068,8.578578,3.329742
5100,aI1KXixY6t6jsjypH8XH+w3h05+MTWfGO8UAh3gWq5I/A8Ke27YZHmZIvAH36o3i,1.9509619999999999,3.552771,2.760504
5400,aI1KXixY6t6jsjypH8XH+w3h05+MTWfGO8UAh3gWq5I/A8Ke27YZHmZIvAH36o3i,1.220146,3.9347239999999997,2.379595
5700,aI1KXixY6t6jsjypH8XH+w3h05+MTWfGO8UAh3gWq5I/A8Ke27YZHmZIvAH36o3i,1.1220780000000001,7.4494240000000005,3.164605
6000,aI1KXixY6t6jsjypH8XH+w3h05+MTWfGO8UAh3gWq5I/A8Ke27YZHmZIvAH36o3i,1.9312630000000002,3.677739,2.710384
6300,aI1KXixY6t6jsjypH8XH+w3h05+MTWfGO8UAh3gWq5I/A8Ke27YZHmZIvAH36o3i,0.687674,4.347528,2.585552
6600,aI1KXixY6t6jsjypH8XH+w3h05+MTWfGO8UAh3gWq5I/A8Ke27YZHmZIvAH36o3i,2.00317,3.743564,2.688872
6900,aI1KXixY6t6jsjypH8XH+w3h05+MTWfGO8UAh3gWq5I/A8Ke27YZHmZIvAH36o3i,1.114034,8.692714,3.2044639999999998
7200,aI1KXixY6t6jsjypH8XH+w3h05+MTWfGO8UAh3gWq5I/A8Ke27YZHmZIvAH36o3i,2.490277,4.116448,2.9704040000000003
7500,aI1KXixY6t6jsjypH8XH+w3h05+MTWfGO8UAh3gWq5I/A8Ke27YZHmZIvAH36o3i,1.9747540000000001,3.2864480000000005,2.5796930000000002
7800,aI1KXixY6t6jsjypH8XH+w3h05+MTWfGO8UAh3gWq5I/A8Ke27YZHmZIvAH36o3i,2.0957220000000003,7.375430000000001,3.179482
8100,aI1KXixY6t6jsjypH8XH+w3h05+MTWfGO8UAh3gWq5I/A8Ke27YZHmZIvAH36o3i,0.655192,6.4480319999999995,2.978822
8400,aI1KXixY6t6jsjypH8XH+w3h05+MTWfGO8UAh3gWq5I/A8Ke27YZHmZIvAH36o3i,0.851259,4.022355999999999,2.5849599999999997
8700,aI1KXixY6t6jsjypH8XH+w3h05+MTWfGO8UAh3gWq5I/A8Ke27YZHmZIvAH36o3i,2.2732740000000002,7.091575,3.315373
9000,aI1KXixY6t6jsjypH8XH+w3h05+MTWfGO8UAh3gWq5I/A8Ke27YZHmZIvAH36o3i,1.25252,4.135625,2.656669
9300,aI1KXixY6t6jsjypH8XH+w3h05+MTWfGO8UAh3gWq5I/A8Ke27YZHmZIvAH36o3i,1.822834,3.7210389999999998,2.573788
