timestamp,vm_id,min_cpu,avg_cpu,max_cpu
0,aMP4RxW7oYikXh4qUrU1xph7waV7J9sf+hqXQyfJ4Ci9pKSPyOK708YM5nfhqhIc,2.7133580000000004,6.54725,5.55711
300,aMP4RxW7oYikXh4qUrU1xph7waV7J9sf+hqXQyfJ4Ci9pKSPyOK708YM5nfhqhIc,5.220592,6.416369,5.781068
600,aMP4RxW7oYikXh4qUrU1xph7waV7J9sf+hqXQyfJ4Ci9pKSPyOK708YM5nfhqhIc,4.486234,6.917039,5.833832
900,aMP4RxW7oYikXh4qUrU1xph7waV7J9sf+hqXQyfJ4Ci9pKSPyOK708YM5nfhqhIc,2.638205,6.609486,5.559056
1200,aMP4RxW7oYikXh4qUrU1xph7waV7J9sf+hqXQyfJ4Ci9pKSPyOK708YM5nfhqhIc,5.515642,6.447837,6.006337
1500,aMP4RxW7oYikXh4qUrU1xph7waV7J9sf+hqXQyfJ4Ci9pKSPyOK708YM5nfhqhIc,4.342213,7.86683,5.81572
1800,aMP4RxW7oYikXh4qUrU1xph7waV7J9sf+hqXQyfJ4Ci9pKSPyOK708YM5nfhqhIc,5.446838,6.371144,5.941528
2100,aMP4RxW7oYikXh4qUrU1xph7waV7J9sf+hqXQyfJ4Ci9pKSPyOK708YM5nfhqhIc,4.153619,25.421737,7.7268669999999995
2400,aMP4RxW7oYikXh4qUrU1xph7waV7J9sf+hqXQyfJ4Ci9pKSPyOK708YM5nfhqhIc,5.627428,6.579208,5.9802349999999995
2700,aMP4RxW7oYikXh4qUrU1xph7waV7J9sf+hqXQyfJ4Ci9pKSPyOK708YM5nfhqhIc,5.499501,14.274032,6.717917
3000,aMP4RxW7oYikXh4qUrU1xph7waV7J9sf+hqXQyfJ4Ci9pKSPyOK708YM5nfhqhIc,5.303709,7.027908,5.994089
3300,aMP4RxW7oYikXh4qUrU1xph7waV7J9sf+hqXQyfJ4Ci9pKSPyOK708YM5nfhqhIc,4.790045,6.303147,5.816664
3600,aMP4RxW7oYikXh4qUrU1xph7waV7J9sf+hqXQyfJ4Ci9pKSPyOK708YM5nfhqhIc,3.8124339999999997,7.308592999999999,5.692937000000001
3900,aMP4RxW7oYikXh4qUrU1xph7waV7J9sf+hqXQyfJ4Ci9pKSPyOK708YM5nfhqhIc,5.595525,6.766532000000001,5.965249
4200,aMP4RxW7oYikXh4qUrU1xph7waV7J9sf+hqXQyfJ4Ci9pKSPyOK708YM5nfhqhIc,4.399881,6.952126,5.810407
4500,aMP4RxW7oYikXh4qUrU1xph7waV7J9sf+hqXQyfJ4Ci9pKSPyOK708YM5nfhqhIc,5.494682,7.21293,5.915693
4800,aMP4RxW7oYikXh4qUrU1xph7waV7J9sf+hqXQyfJ4Ci9pKSPyOK708YM5nfhqhIc,5.495212,6.935892999999999,6.011544000000001
5100,aMP4RxW7oYikXh4qUrU1xph7waV7J9sf+hqXQyfJ4Ci9pKSPyOK708YM5nfhqhIc,5.340787000000001,7.549739,6.09645
5400,aMP4RxW7oYikXh4qUrU1xph7waV7J9sf+hqXQyfJ4Ci9pKSPyOK708YM5nfhqhIc,5.21221,8.534761,6.220021
