timestamp,vm_id,min_cpu,avg_cpu,max_cpu
0,abKksEe/kxbpehs8LD/VJ9ugLZhz6lHHh1RZ70SSW+WK7tRse9S12RqvUFN5wNE9,0.64727,2.2912939999999997,1.436132
300,abKksEe/kxbpehs8LD/VJ9ugLZhz6lHHh1RZ70SSW+WK7tRse9S12RqvUFN5wNE9,1.091121,26.495223,4.020871
600,abKksEe/kxbpehs8LD/VJ9ugLZhz6lHHh1RZ70SSW+WK7tRse9S12RqvUFN5wNE9,1.167355,3.591275,1.6946720000000002
900,abKksEe/kxbpehs8LD/VJ9ugLZhz6lHHh1RZ70SSW+WK7tRse9S12RqvUFN5wNE9,1.104133,2.954386,1.7116470000000001
1200,abKksEe/kxbpehs8LD/VJ9ugLZhz6lHHh1RZ70SSW+WK7tRse9S12RqvUFN5wNE9,1.305161,2.777257,1.650841
1500,abKksEe/kxbpehs8LD/VJ9ugLZhz6lHHh1RZ70SSW+WK7tRse9S12RqvUFN5wNE9,0.7784409999999999,3.9060980000000005,1.845927
1800,abKksEe/kxbpehs8LD/VJ9ugLZhz6lHHh1RZ70SSW+WK7tRse9S12RqvUFN5wNE9,1.232694,3.198236,1.849405
2100,abKksEe/kxbpehs8LD/VJ9ugLZhz6lHHh1RZ70SSW+WK7tRse9S12RqvUFN5wNE9,1.14786,2.693181,1.686493
2400,abKksEe/kxbpehs8LD/VJ9ugLZhz6lHHh1RZ70SSW+WK7tRse9S12RqvUFN5wNE9,1.384629,3.7657559999999997,1.872536
2700,abKksEe/kxbpehs8LD/VJ9ugLZhz6lHHh1RZ70SSW+WK7tRse9S12RqvUFN5wNE9,0.816032,3.380263,1.785251
3000,abKksEe/kxbpehs8LD/VJ9ugLZhz6lHHh1RZ70SSW+WK7tRse9S12RqvUFN5wNE9,0.887544,2.7411849999999998,1.691672
3300,abKksEe/kxbpehs8LD/VJ9ugLZhz6lHHh1RZ70SSW+WK7tRse9S12RqvUFN5wNE9,1.373887,3.6683160000000004,1.925354
3600,abKksEe/kxbpehs8LD/VJ9ugLZhz6lHHh1RZ70SSW+WK7tRse9S12RqvUFN5wNE9,0.513027,33.897853999999995,7.715764
3900,abKksEe/kxbpehs8LD/VJ9ugLZhz6lHHh1RZ70SSW+WK7tRse9S12RqvUFN5wNE9,1.6081590000000001,26.267391999999997,7.039186999999999
4200,abKksEe/kxbpehs8LD/VJ9ugLZhz6lHHh1RZ70SSW+WK7tRse9S12RqvUFN5wNE9,0.796242,3.7086930000000002,1.8932849999999999
4500,abKksEe/kxbpehs8LD/VJ9ugLZhz6lHHh1RZ70SSW+WK7tRse9S12RqvUFN5wNE9,1.3878979999999999,3.3491459999999997,1.9556330000000002
4800,abKksEe/kxbpehs8LD/VJ9ugLZhz6lHHh1RZ70SSW+WK7tRse9S12RqvUFN5wNE9,1.28425,2.685422,1.8088419999999998
5100,abKksEe/kxbpehs8LD/VJ9ugLZhz6lHHh1RZ70SSW+WK7tRse9S12RqvUFN5wNE9,1.296024,4.044705,1.9267450000000002
5400,abKksEe/kxbpehs8LD/VJ9ugLZhz6lHHh1RZ70SSW+WK7tRse9S12RqvUFN5wNE9,0.811852,3.215304,1.7657619999999998
5700,abKksEe/kxbpehs8LD/VJ9ugLZhz6lHHh1RZ70SSW+WK7tRse9S12RqvUFN5wNE9,1.312946,2.754983,1.8134540000000001
6000,abKksEe/kxbpehs8LD/VJ9ugLZhz6lHHh1RZ70SSW+WK7tRse9S12RqvUFN5wNE9,1.185525,3.66329,1.813532
6300,abKksEe/kxbpehs8LD/VJ9ugLZhz6lHHh1RZ70SSW+WK7tRse9S12RqvUFN5wNE9,1.274981,3.072453,1.815002
6600,abKksEe/kxbpehs8LD/VJ9ugLZhz6lHHh1RZ70SSW+WK7tRse9S12RqvUFN5wNE9,1.336198,2.792528,1.779548
6900,abKksEe/kxbpehs8LD/VJ9ugLZhz6lHHh1RZ70SSW+WK7tRse9S12RqvUFN5wNE9,1.326638,3.846254,1.926611
