timestamp,vm_id,min_cpu,avg_cpu,max_cpu
0,Xke+g/Nfimgf6T358Thtls0HApndcdSwmgBRR1fsCIjDLcRvJPYtjehOaZiBH3NK,7.151634,8.004625,7.310203
300,Xke+g/Nfimgf6T358Thtls0HApndcdSwmgBRR1fsCIjDLcRvJPYtjehOaZiBH3NK,7.2197,8.15143,7.556928999999999
600,Xke+g/Nfimgf6T358Thtls0HApndcdSwmgBRR1fsCIjDLcRvJPYtjehOaZiBH3NK,6.947508,9.001249000000001,7.642391
900,Xke+g/Nfimgf6T358Thtls0HApndcdSwmgBRR1fsCIjDLcRvJPYtjehOaZiBH3NK,6.914524,7.244895,7.104989999999999
1200,Xke+g/Nfimgf6T358Thtls0HApndcdSwmgBRR1fsCIjDLcRvJPYtjehOaZiBH3NK,7.234689,8.737575,7.663276
1500,Xke+g/Nfimgf6T358Thtls0HApndcdSwmgBRR1fsCIjDLcRvJPYtjehOaZiBH3NK,7.453336,10.426741,8.169489
1800,Xke+g/Nfimgf6T358Thtls0HApndcdSwmgBRR1fsCIjDLcRvJPYtjehOaZiBH3NK,6.5891779999999995,7.485963000000001,6.871958
2100,Xke+g/Nfimgf6T358Thtls0HApndcdSwmgBRR1fsCIjDLcRvJPYtjehOaZiBH3NK,6.76975,7.198457,6.992103
2400,Xke+g/Nfimgf6T358Thtls0HApndcdSwmgBRR1fsCIjDLcRvJPYtjehOaZiBH3NK,6.564126,7.0442089999999995,6.708927
2700,Xke+g/Nfimgf6T358Thtls0HApndcdSwmgBRR1fsCIjDLcRvJPYtjehOaZiBH3NK,6.73497,7.178559,7.0095089999999995
3000,Xke+g/Nfimgf6T358Thtls0HApndcdSwmgBRR1fsCIjDLcRvJPYtjehOaZiBH3NK,6.723087,7.267561,7.114228
3300,Xke+g/Nfimgf6T358Thtls0HApndcdSwmgBRR1fsCIjDLcRvJPYtjehOaZiBH3NK,6.549466000000001,6.8223259999999994,6.644846
3600,Xke+g/Nfimgf6T358Thtls0HApndcdSwmgBRR1fsCIjDLcRvJPYtjehOaZiBH3NK,6.531584,7.01965,6.70569
3900,Xke+g/Nfimgf6T358Thtls0HApndcdSwmgBRR1fsCIjDLcRvJPYtjehOaZiBH3NK,6.8785050000000005,7.515014,7.2926210000000005
4200,Xke+g/Nfimgf6T358Thtls0HApndcdSwmgBRR1fsCIjDLcRvJPYtjehOaZiBH3NK,6.629103999999999,6.893273,6.75202
4500,Xke+g/Nfimgf6T358Thtls0HApndcdSwmgBRR1fsCIjDLcRvJPYtjehOaZiBH3NK,2.653889,2.932316,2.83046
