timestamp,vm_id,min_cpu,avg_cpu,max_cpu
0,Z14HWQu3cq6u8wytgQGe1wlDi+XooJJf9Y9Fxz1KTgX9TP7nNfwKDd3/uzw7c1uw,15.629342999999999,18.406643,16.81823
300,Z14HWQu3cq6u8wytgQGe1wlDi+XooJJf9Y9Fxz1KTgX9TP7nNfwKDd3/uzw7c1uw,15.354988,18.168969,16.526188
600,Z14HWQu3cq6u8wytgQGe1wlDi+XooJJf9Y9Fxz1KTgX9TP7nNfwKDd3/uzw7c1uw,15.822621,17.556553,16.372242
900,Z14HWQu3cq6u8wytgQGe1wlDi+XooJJf9Y9Fxz1KTgX9TP7nNfwKDd3/uzw7c1uw,15.536987,17.580529000000002,16.236775
1200,Z14HWQu3cq6u8wytgQGe1wlDi+XooJJf9Y9Fxz1KTgX9TP7nNfwKDd3/uzw7c1uw,15.445382,19.298795000000002,16.347182
1500,Z14HWQu3cq6u8wytgQGe1wlDi+XooJJf9Y9Fxz1KTgX9TP7nNfwKDd3/uzw7c1uw,11.128495,19.347578,12.820911
1800,Z14HWQu3cq6u8wytgQGe1wlDi+XooJJf9Y9Fxz1KTgX9TP7nNfwKDd3/uzw7c1uw,11.170949,16.329526,12.313853
2100,Z14HWQu3cq6u8wytgQGe1wlDi+XooJJf9Y9Fxz1KTgX9TP7nNfwKDd3/uzw7c1uw,11.760019999999999,15.382995000000001,12.511849
2400,Z14HWQu3cq6u8wytgQGe1wlDi+XooJJf9Y9Fxz1KTgX9TP7nNfwKDd3/uzw7c1uw,9.331128,13.618124,11.989332000000001
2700,Z14HWQu3cq6u8wytgQGe1wlDi+XooJJf9Y9Fxz1KTgX9TP7nNfwKDd3/uzw7c1uw,9.657615,12.954298,11.062672000000001
3000,Z14HWQu3cq6u8wytgQGe1wlDi+XooJJf9Y9Fxz1KTgX9TP7nNfwKDd3/uzw7c1uw,9.74342,10.514809,10.106561
3300,Z14HWQu3cq6u8wytgQGe1wlDi+XooJJf9Y9Fxz1KTgX9TP7nNfwKDd3/uzw7c1uw,9.340372,10.977725,10.294941
3600,Z14HWQu3cq6u8wytgQGe1wlDi+XooJJf9Y9Fxz1KTgX9TP7nNfwKDd3/uzw7c1uw,9.84351,11.167759,10.314333999999999
3900,Z14HWQu3cq6u8wytgQGe1wlDi+XooJJf9Y9Fxz1KTgX9TP7nNfwKDd3/uzw7c1uw,9.6114,11.147227,10.224255
4200,Z14HWQu3cq6u8wytgQGe1wlDi+XooJJf9Y9Fxz1KTgX9TP7nNfwKDd3/uzw7c1uw,9.030596000000001,11.820499,10.114564
4500,Z14HWQu3cq6u8wytgQGe1wlDi+XooJJf9Y9Fxz1KTgX9TP7nNfwKDd3/uzw7c1uw,8.81756,10.055014,9.426176
4800,Z14HWQu3cq6u8wytgQGe1wlDi+XooJJf9Y9Fxz1KTgX9TP7nNfwKDd3/uzw7c1uw,8.562994999999999,9.737364,9.017871000000001
5100,Z14HWQu3cq6u8wytgQGe1wlDi+XooJJf9Y9Fxz1KTgX9TP7nNfwKDd3/uzw7c1uw,7.778604,10.700538,8.695110000000001
5400,Z14HWQu3cq6u8wytgQGe1wlDi+XooJJf9Y9Fxz1KTgX9TP7nNfwKDd3/uzw7c1uw,6.389597,10.403683000000001,7.413056
5700,Z14HWQu3cq6u8wytgQGe1wlDi+XooJJf9Y9Fxz1KTgX9TP7nNfwKDd3/uzw7c1uw,5.370154,9.776096,7.034160000000001
6000,Z14HWQu3cq6u8wytgQGe1wlDi+XooJJf9Y9Fxz1KTgX9TP7nNfwKDd3/uzw7c1uw,5.46544,6.309759,5.795064
6300,Z14HWQu3cq6u8wytgQGe1wlDi+XooJJf9Y9Fxz1KTgX9TP7nNfwKDd3/uzw7c1uw,5.3419669999999995,6.692952,5.934462
6600,Z14HWQu3cq6u8wytgQGe1wlDi+XooJJf9Y9Fxz1KTgX9TP7nNfwKDd3/uzw7c1uw,5.351262999999999,6.466114,5.7321480000000005
6900,Z14HWQu3cq6u8wytgQGe1wlDi+XooJJf9Y9Fxz1KTgX9TP7nNfwKDd3/uzw7c1uw,1.769348,3.011344,2.314645
