timestamp,vm_id,min_cpu,avg_cpu,max_cpu
0,Z5SrGbNHmHXB04oPx/EAm14QHMJAumTLCOoE8JqoZVQTxzBItWH11ZyClrIMRcUa,0.094014,1.294959,0.258662
300,Z5SrGbNHmHXB04oPx/EAm14QHMJAumTLCOoE8JqoZVQTxzBItWH11ZyClrIMRcUa,0.013267,0.645912,0.201807
600,Z5SrGbNHmHXB04oPx/EAm14QHMJAumTLCOoE8JqoZVQTxzBItWH11ZyClrIMRcUa,0.022446999999999998,0.848815,0.250787
900,Z5SrGbNHmHXB04oPx/EAm14QHMJAumTLCOoE8JqoZVQTxzBItWH11ZyClrIMRcUa,0.101551,14.382218,0.6670189999999999
1200,Z5SrGbNHmHXB04oPx/EAm14QHMJAumTLCOoE8JqoZVQTxzBItWH11ZyClrIMRcUa,0.033456,0.9321950000000001,0.25211999999999996
1500,Z5SrGbNHmHXB04oPx/EAm14QHMJAumTLCOoE8JqoZVQTxzBItWH11ZyClrIMRcUa,0.07025,1.14618,0.259446
1800,Z5SrGbNHmHXB04oPx/EAm14QHMJAumTLCOoE8JqoZVQTxzBItWH11ZyClrIMRcUa,0.025961,9.837237,0.48900600000000005
2100,Z5SrGbNHmHXB04oPx/EAm14QHMJAumTLCOoE8JqoZVQTxzBItWH11ZyClrIMRcUa,0.077231,5.887239,0.49329700000000004
2400,Z5SrGbNHmHXB04oPx/EAm14QHMJAumTLCOoE8JqoZVQTxzBItWH11ZyClrIMRcUa,0.020766,0.780475,0.24924899999999997
2700,Z5SrGbNHmHXB04oPx/EAm14QHMJAumTLCOoE8JqoZVQTxzBItWH11ZyClrIMRcUa,0.088155,1.1302450000000002,0.257504
3000,Z5SrGbNHmHXB04oPx/EAm14QHMJAumTLCOoE8JqoZVQTxzBItWH11ZyClrIMRcUa,0.038918,6.334533,0.44099799999999995
3300,Z5SrGbNHmHXB04oPx/EAm14QHMJAumTLCOoE8JqoZVQTxzBItWH11ZyClrIMRcUa,0.021059,0.831291,0.246117
3600,Z5SrGbNHmHXB04oPx/EAm14QHMJAumTLCOoE8JqoZVQTxzBItWH11ZyClrIMRcUa,0.08594,1.2261440000000001,0.250082
3900,Z5SrGbNHmHXB04oPx/EAm14QHMJAumTLCOoE8JqoZVQTxzBItWH11ZyClrIMRcUa,0.023747,0.9183530000000001,0.24864699999999998
4200,Z5SrGbNHmHXB04oPx/EAm14QHMJAumTLCOoE8JqoZVQTxzBItWH11ZyClrIMRcUa,0.084826,6.482693,0.488543
4500,Z5SrGbNHmHXB04oPx/EAm14QHMJAumTLCOoE8JqoZVQTxzBItWH11ZyClrIMRcUa,0.021731,7.004992,0.413951
