timestamp,vm_id,min_cpu,avg_cpu,max_cpu
0,ZoZ3S5at4n9PGLHaHwg0uNh6Sox92b7Bk71jDWNvHp1ca6cbf8UPt0zOhPnTa/7/,26.869065000000003,80.697119,63.720278
300,ZoZ3S5at4n9PGLHaHwg0uNh6Sox92b7Bk71jDWNvHp1ca6cbf8UPt0zOhPnTa/7/,20.898861,80.573447,64.858776
600,ZoZ3S5at4n9PGLHaHwg0uNh6Sox92b7Bk71jDWNvHp1ca6cbf8UPt0zOhPnTa/7/,4.495491,75.258656,35.767692
900,ZoZ3S5at4n9PGLHaHwg0uNh6Sox92b7Bk71jDWNvHp1ca6cbf8UPt0zOhPnTa/7/,12.374061,83.820511,61.324406999999994
1200,ZoZ3S5at4n9PGLHaHwg0uNh6Sox92b7Bk71jDWNvHp1ca6cbf8UPt0zOhPnTa/7/,47.272715000000005,81.229213,70.277109
1500,ZoZ3S5at4n9PGLHaHwg0uNh6Sox92b7Bk71jDWNvHp1ca6cbf8UPt0zOhPnTa/7/,11.573763,84.179114,59.015205
1800,ZoZ3S5at4n9PGLHaHwg0uNh6Sox92b7Bk71jDWNvHp1ca6cbf8UPt0zOhPnTa/7/,15.497022,83.24278699999999,65.393035
2100,ZoZ3S5at4n9PGLHaHwg0uNh6Sox92b7Bk71jDWNvHp1ca6cbf8UPt0zOhPnTa/7/,28.712377000000004,84.782193,65.293188
2400,ZoZ3S5at4n9PGLHaHwg0uNh6Sox92b7Bk71jDWNvHp1ca6cbf8UPt0zOhPnTa/7/,4.428906,71.267768,38.604428999999996
2700,ZoZ3S5at4n9PGLHaHwg0uNh6Sox92b7Bk71jDWNvHp1ca6cbf8UPt0zOhPnTa/7/,20.138637,78.406699,58.78109
3000,ZoZ3S5at4n9PGLHaHwg0uNh6Sox92b7Bk71jDWNvHp1ca6cbf8UPt0zOhPnTa/7/,30.281446000000003,77.732214,62.197435999999996
3300,ZoZ3S5at4n9PGLHaHwg0uNh6Sox92b7Bk71jDWNvHp1ca6cbf8UPt0zOhPnTa/7/,14.262843,59.604387,50.572585
3600,ZoZ3S5at4n9PGLHaHwg0uNh6Sox92b7Bk71jDWNvHp1ca6cbf8UPt0zOhPnTa/7/,3.98412,47.008897,16.564805
3900,ZoZ3S5at4n9PGLHaHwg0uNh6Sox92b7Bk71jDWNvHp1ca6cbf8UPt0zOhPnTa/7/,0.659488,8.469036000000001,3.901072
4200,ZoZ3S5at4n9PGLHaHwg0uNh6Sox92b7Bk71jDWNvHp1ca6cbf8UPt0zOhPnTa/7/,0.216914,0.307354,0.26558899999999996
