timestamp,vm_id,min_cpu,avg_cpu,max_cpu
0,cwOyFNV4tZJBIYMiTaRu6/19HE9B+SFWXW2Z6X67maB7tRU14n6iHNROuW19+aqW,1.49071,22.870611,12.632663
300,cwOyFNV4tZJBIYMiTaRu6/19HE9B+SFWXW2Z6X67maB7tRU14n6iHNROuW19+aqW,1.6986080000000001,22.701142,12.938986
600,cwOyFNV4tZJBIYMiTaRu6/19HE9B+SFWXW2Z6X67maB7tRU14n6iHNROuW19+aqW,1.6517439999999999,22.597325,12.654622
900,cwOyFNV4tZJBIYMiTaRu6/19HE9B+SFWXW2Z6X67maB7tRU14n6iHNROuW19+aqW,1.4308100000000001,22.584052,12.515315
1200,cwOyFNV4tZJBIYMiTaRu6/19HE9B+SFWXW2Z6X67maB7tRU14n6iHNROuW19+aqW,1.7054310000000001,22.700745,12.997464
1500,cwOyFNV4tZJBIYMiTaRu6/19HE9B+SFWXW2Z6X67maB7tRU14n6iHNROuW19+aqW,1.6457110000000001,22.536173,12.682164
1800,cwOyFNV4tZJBIYMiTaRu6/19HE9B+SFWXW2Z6X67maB7tRU14n6iHNROuW19+aqW,1.6115059999999999,23.967331,13.269165
2100,cwOyFNV4tZJBIYMiTaRu6/19HE9B+SFWXW2Z6X67maB7tRU14n6iHNROuW19+aqW,1.6422139999999998,22.693085,12.408683
2400,cwOyFNV4tZJBIYMiTaRu6/19HE9B+SFWXW2Z6X67maB7tRU14n6iHNROuW19+aqW,1.596514,22.442652,12.732000000000001
2700,cwOyFNV4tZJBIYMiTaRu6/19HE9B+SFWXW2Z6X67maB7tRU14n6iHNROuW19+aqW,1.368154,22.706657,12.55679
3000,cwOyFNV4tZJBIYMiTaRu6/19HE9B+SFWXW2Z6X67maB7tRU14n6iHNROuW19+aqW,1.562884,22.176654,12.809735
3300,cwOyFNV4tZJBIYMiTaRu6/19HE9B+SFWXW2Z6X67maB7tRU14n6iHNROuW19+aqW,1.559848,22.484317,12.481127
3600,cwOyFNV4tZJBIYMiTaRu6/19HE9B+SFWXW2Z6X67maB7tRU14n6iHNROuW19+aqW,1.5212290000000002,22.57722,12.347325
3900,cwOyFNV4tZJBIYMiTaRu6/19HE9B+SFWXW2Z6X67maB7tRU14n6iHNROuW19+aqW,1.633419,22.321218,12.672688
4200,cwOyFNV4tZJBIYMiTaRu6/19HE9B+SFWXW2Z6X67maB7tRU14n6iHNROuW19+aqW,1.549684,22.268331,12.444484
4500,cwOyFNV4tZJBIYMiTaRu6/19HE9B+SFWXW2Z6X67maB7tRU14n6iHNROuW19+aqW,1.656511,22.183235,12.837543
4800,cwOyFNV4tZJBIYMiTaRu6/19HE9B+SFWXW2Z6X67maB7tRU14n6iHNROuW19+aqW,1.734609,21.952686,12.646892999999999
