timestamp,vm_id,min_cpu,avg_cpu,max_cpu
0,cwmnHpe9TMJgtbK32UB1qokMld9r6y2DiNhEbSEO8nhKGurIFDl8mfCWIPxnQF7L,19.281426999999997,61.925056000000005,50.219553999999995
300,cwmnHpe9TMJgtbK32UB1qokMld9r6y2DiNhEbSEO8nhKGurIFDl8mfCWIPxnQF7L,4.586696,56.383995,28.131320000000002
600,cwmnHpe9TMJgtbK32UB1qokMld9r6y2DiNhEbSEO8nhKGurIFDl8mfCWIPxnQF7L,12.528999,72.644126,51.553455
900,cwmnHpe9TMJgtbK32UB1qokMld9r6y2DiNhEbSEO8nhKGurIFDl8mfCWIPxnQF7L,13.543557999999999,62.274499,43.735205
1200,cwmnHpe9TMJgtbK32UB1qokMld9r6y2DiNhEbSEO8nhKGurIFDl8mfCWIPxnQF7L,10.734421000000001,71.032093,50.670988
1500,cwmnHpe9TMJgtbK32UB1qokMld9r6y2DiNhEbSEO8nhKGurIFDl8mfCWIPxnQF7L,9.954168,48.227298,31.551710999999997
1800,cwmnHpe9TMJgtbK32UB1qokMld9r6y2DiNhEbSEO8nhKGurIFDl8mfCWIPxnQF7L,9.099948,68.990214,51.621752
2100,cwmnHpe9TMJgtbK32UB1qokMld9r6y2DiNhEbSEO8nhKGurIFDl8mfCWIPxnQF7L,11.592156,67.70712900000001,51.388652
2400,cwmnHpe9TMJgtbK32UB1qokMld9r6y2DiNhEbSEO8nhKGurIFDl8mfCWIPxnQF7L,3.780306,67.397172,26.083069000000002
2700,cwmnHpe9TMJgtbK32UB1qokMld9r6y2DiNhEbSEO8nhKGurIFDl8mfCWIPxnQF7L,3.378443,4.39692,4.028129
3000,cwmnHpe9TMJgtbK32UB1qokMld9r6y2DiNhEbSEO8nhKGurIFDl8mfCWIPxnQF7L,0.321411,3.7124989999999998,1.680937
