timestamp,vm_id,min_cpu,avg_cpu,max_cpu
0,dEfPjPc+0+Wp3dRkFNYQeHID263QLLyWqrdiU9gd/ZyWl22TAoyWciWEKG4Kf7LW,6.329065,6.7016350000000005,6.480084
300,dEfPjPc+0+Wp3dRkFNYQeHID263QLLyWqrdiU9gd/ZyWl22TAoyWciWEKG4Kf7LW,6.432608999999999,7.051591,6.781267999999999
600,dEfPjPc+0+Wp3dRkFNYQeHID263QLLyWqrdiU9gd/ZyWl22TAoyWciWEKG4Kf7LW,6.471228,6.859686,6.629942
900,dEfPjPc+0+Wp3dRkFNYQeHID263QLLyWqrdiU9gd/ZyWl22TAoyWciWEKG4Kf7LW,6.668286999999999,6.990319,6.863810000000001
1200,dEfPjPc+0+Wp3dRkFNYQeHID263QLLyWqrdiU9gd/ZyWl22TAoyWciWEKG4Kf7LW,6.708514999999999,7.264849000000001,7.047960000000001
1500,dEfPjPc+0+Wp3dRkFNYQeHID263QLLyWqrdiU9gd/ZyWl22TAoyWciWEKG4Kf7LW,6.194159,7.106723,6.5924830000000005
1800,dEfPjPc+0+Wp3dRkFNYQeHID263QLLyWqrdiU9gd/ZyWl22TAoyWciWEKG4Kf7LW,5.839008,6.633521000000001,6.4328959999999995
2100,dEfPjPc+0+Wp3dRkFNYQeHID263QLLyWqrdiU9gd/ZyWl22TAoyWciWEKG4Kf7LW,6.654802,6.880672,6.743466000000001
2400,dEfPjPc+0+Wp3dRkFNYQeHID263QLLyWqrdiU9gd/ZyWl22TAoyWciWEKG4Kf7LW,5.809767,6.457819000000001,6.267087999999999
2700,dEfPjPc+0+Wp3dRkFNYQeHID263QLLyWqrdiU9gd/ZyWl22TAoyWciWEKG4Kf7LW,6.356964,6.61262,6.469869999999999
3000,dEfPjPc+0+Wp3dRkFNYQeHID263QLLyWqrdiU9gd/ZyWl22TAoyWciWEKG4Kf7LW,6.514753,7.304860000000001,6.994634
3300,dEfPjPc+0+Wp3dRkFNYQeHID263QLLyWqrdiU9gd/ZyWl22TAoyWciWEKG4Kf7LW,6.500093,10.496858,7.117992999999999
3600,dEfPjPc+0+Wp3dRkFNYQeHID263QLLyWqrdiU9gd/ZyWl22TAoyWciWEKG4Kf7LW,6.42852,7.1351,6.833295
3900,dEfPjPc+0+Wp3dRkFNYQeHID263QLLyWqrdiU9gd/ZyWl22TAoyWciWEKG4Kf7LW,2.950732,3.027113,2.998654
