timestamp,vm_id,min_cpu,avg_cpu,max_cpu
0,eeGwoEjjtPPijKy29/FNJIqf3xUF0uXzs/YWgT43aLqbfdOn6tShF5Q7I2rcPQky,2.0502439999999997,9.936417,3.6804879999999995
300,eeGwoEjjtPPijKy29/FNJIqf3xUF0uXzs/YWgT43aLqbfdOn6tShF5Q7I2rcPQky,2.0340689999999997,11.777650999999999,3.955659
600,eeGwoEjjtPPijKy29/FNJIqf3xUF0uXzs/YWgT43aLqbfdOn6tShF5Q7I2rcPQky,2.104055,5.079203,2.961898
900,eeGwoEjjtPPijKy29/FNJIqf3xUF0uXzs/YWgT43aLqbfdOn6tShF5Q7I2rcPQky,2.10074,9.856423,3.819055
1200,eeGwoEjjtPPijKy29/FNJIqf3xUF0uXzs/YWgT43aLqbfdOn6tShF5Q7I2rcPQky,2.081404,4.567531,3.015946
1500,eeGwoEjjtPPijKy29/FNJIqf3xUF0uXzs/YWgT43aLqbfdOn6tShF5Q7I2rcPQky,2.21139,4.437447,3.2077080000000002
1800,eeGwoEjjtPPijKy29/FNJIqf3xUF0uXzs/YWgT43aLqbfdOn6tShF5Q7I2rcPQky,2.105745,12.481546,3.973876
2100,eeGwoEjjtPPijKy29/FNJIqf3xUF0uXzs/YWgT43aLqbfdOn6tShF5Q7I2rcPQky,2.306152,8.187419,4.12571
2400,eeGwoEjjtPPijKy29/FNJIqf3xUF0uXzs/YWgT43aLqbfdOn6tShF5Q7I2rcPQky,1.502787,4.256143,2.741132
2700,eeGwoEjjtPPijKy29/FNJIqf3xUF0uXzs/YWgT43aLqbfdOn6tShF5Q7I2rcPQky,2.02794,10.063439,3.814653
3000,eeGwoEjjtPPijKy29/FNJIqf3xUF0uXzs/YWgT43aLqbfdOn6tShF5Q7I2rcPQky,2.110895,5.741729,3.689431
3300,eeGwoEjjtPPijKy29/FNJIqf3xUF0uXzs/YWgT43aLqbfdOn6tShF5Q7I2rcPQky,2.267267,5.417413,3.2252330000000002
3600,eeGwoEjjtPPijKy29/FNJIqf3xUF0uXzs/YWgT43aLqbfdOn6tShF5Q7I2rcPQky,2.000695,9.800573,3.4978
3900,eeGwoEjjtPPijKy29/FNJIqf3xUF0uXzs/YWgT43aLqbfdOn6tShF5Q7I2rcPQky,2.1466689999999997,5.659879,3.116556
4200,eeGwoEjjtPPijKy29/FNJIqf3xUF0uXzs/YWgT43aLqbfdOn6tShF5Q7I2rcPQky,2.407807,5.220572,3.2523020000000002
4500,eeGwoEjjtPPijKy29/FNJIqf3xUF0uXzs/YWgT43aLqbfdOn6tShF5Q7I2rcPQky,2.080022,9.734671,3.938993
4800,eeGwoEjjtPPijKy29/FNJIqf3xUF0uXzs/YWgT43aLqbfdOn6tShF5Q7I2rcPQky,2.131157,3.702378,2.848566
5100,eeGwoEjjtPPijKy29/FNJIqf3xUF0uXzs/YWgT43aLqbfdOn6tShF5Q7I2rcPQky,2.2034380000000002,5.299322,3.206037
5400,eeGwoEjjtPPijKy29/FNJIqf3xUF0uXzs/YWgT43aLqbfdOn6tShF5Q7I2rcPQky,2.059017,13.021460000000001,3.9931449999999997
5700,eeGwoEjjtPPijKy29/FNJIqf3xUF0uXzs/YWgT43aLqbfdOn6tShF5Q7I2rcPQky,2.232226,11.378239,3.5851949999999997
6000,eeGwoEjjtPPijKy29/FNJIqf3xUF0uXzs/YWgT43aLqbfdOn6tShF5Q7I2rcPQky,1.559318,5.448904,3.713336
6300,eeGwoEjjtPPijKy29/FNJIqf3xUF0uXzs/YWgT43aLqbfdOn6tShF5Q7I2rcPQky,2.1429270000000002,16.920084,4.5097949999999996
6600,eeGwoEjjtPPijKy29/FNJIqf3xUF0uXzs/YWgT43aLqbfdOn6tShF5Q7I2rcPQky,2.016444,6.284358,3.1051990000000003
6900,eeGwoEjjtPPijKy29/FNJIqf3xUF0uXzs/YWgT43aLqbfdOn6tShF5Q7I2rcPQky,2.3803,6.992233000000001,4.244143
7200,eeGwoEjjtPPijKy29/FNJIqf3xUF0uXzs/YWgT43aLqbfdOn6tShF5Q7I2rcPQky,1.021079,9.766584,3.378965
7500,eeGwoEjjtPPijKy29/FNJIqf3xUF0uXzs/YWgT43aLqbfdOn6tShF5Q7I2rcPQky,2.214886,5.616864,3.4332599999999998
