timestamp,vm_id,min_cpu,avg_cpu,max_cpu
0,fFLMKTU82v7eFyH9k7I3StdQJI8SsAvXzxx0HprcKockBxN8CcTykzgM5XaXSBOa,0.616661,3.143595,1.509932
300,fFLMKTU82v7eFyH9k7I3StdQJI8SsAvXzxx0HprcKockBxN8CcTykzgM5XaXSBOa,0.2982,3.295054,1.47695
600,fFLMKTU82v7eFyH9k7I3StdQJI8SsAvXzxx0HprcKockBxN8CcTykzgM5XaXSBOa,0.7054279999999999,3.227385,1.5716709999999998
900,fFLMKTU82v7eFyH9k7I3StdQJI8SsAvXzxx0HprcKockBxN8CcTykzgM5XaXSBOa,0.558887,3.223087,1.466642
1200,fFLMKTU82v7eFyH9k7I3StdQJI8SsAvXzxx0HprcKockBxN8CcTykzgM5XaXSBOa,0.487608,3.052197,1.449557
1500,fFLMKTU82v7eFyH9k7I3StdQJI8SsAvXzxx0HprcKockBxN8CcTykzgM5XaXSBOa,0.654258,20.170203,3.253634
1800,fFLMKTU82v7eFyH9k7I3StdQJI8SsAvXzxx0HprcKockBxN8CcTykzgM5XaXSBOa,0.357102,3.364029,1.538246
2100,fFLMKTU82v7eFyH9k7I3StdQJI8SsAvXzxx0HprcKockBxN8CcTykzgM5XaXSBOa,0.5181359999999999,5.717029,1.6545900000000002
2400,fFLMKTU82v7eFyH9k7I3StdQJI8SsAvXzxx0HprcKockBxN8CcTykzgM5XaXSBOa,0.654147,3.373639,1.5171350000000001
2700,fFLMKTU82v7eFyH9k7I3StdQJI8SsAvXzxx0HprcKockBxN8CcTykzgM5XaXSBOa,0.56002,3.360379,1.517207
3000,fFLMKTU82v7eFyH9k7I3StdQJI8SsAvXzxx0HprcKockBxN8CcTykzgM5XaXSBOa,0.39548099999999997,9.809424,2.058446
3300,fFLMKTU82v7eFyH9k7I3StdQJI8SsAvXzxx0HprcKockBxN8CcTykzgM5XaXSBOa,0.534971,3.607675,1.514607
3600,fFLMKTU82v7eFyH9k7I3StdQJI8SsAvXzxx0HprcKockBxN8CcTykzgM5XaXSBOa,0.556933,3.060057,1.489819
3900,fFLMKTU82v7eFyH9k7I3StdQJI8SsAvXzxx0HprcKockBxN8CcTykzgM5XaXSBOa,0.303754,3.0973439999999997,1.38489
4200,fFLMKTU82v7eFyH9k7I3StdQJI8SsAvXzxx0HprcKockBxN8CcTykzgM5XaXSBOa,0.525081,3.5573620000000004,1.4925760000000001
4500,fFLMKTU82v7eFyH9k7I3StdQJI8SsAvXzxx0HprcKockBxN8CcTykzgM5XaXSBOa,0.41079099999999996,3.0499959999999997,1.441633
4800,fFLMKTU82v7eFyH9k7I3StdQJI8SsAvXzxx0HprcKockBxN8CcTykzgM5XaXSBOa,0.491008,3.193669,1.500219
5100,fFLMKTU82v7eFyH9k7I3StdQJI8SsAvXzxx0HprcKockBxN8CcTykzgM5XaXSBOa,0.50922,2.8538200000000002,1.4446450000000002
5400,fFLMKTU82v7eFyH9k7I3StdQJI8SsAvXzxx0HprcKockBxN8CcTykzgM5XaXSBOa,0.601437,3.0849849999999996,1.529323
5700,fFLMKTU82v7eFyH9k7I3StdQJI8SsAvXzxx0HprcKockBxN8CcTykzgM5XaXSBOa,0.308664,3.069394,1.402798
6000,fFLMKTU82v7eFyH9k7I3StdQJI8SsAvXzxx0HprcKockBxN8CcTykzgM5XaXSBOa,0.620136,3.583542,1.500618
6300,fFLMKTU82v7eFyH9k7I3StdQJI8SsAvXzxx0HprcKockBxN8CcTykzgM5XaXSBOa,0.39463200000000004,3.051752,1.469296
6600,fFLMKTU82v7eFyH9k7I3StdQJI8SsAvXzxx0HprcKockBxN8CcTykzgM5XaXSBOa,0.248473,3.065466,1.398762
6900,fFLMKTU82v7eFyH9k7I3StdQJI8SsAvXzxx0HprcKockBxN8CcTykzgM5XaXSBOa,0.581328,3.369444,1.529284
7200,fFLMKTU82v7eFyH9k7I3StdQJI8SsAvXzxx0HprcKockBxN8CcTykzgM5XaXSBOa,0.605612,3.2898739999999997,1.476608
7500,fFLMKTU82v7eFyH9k7I3StdQJI8SsAvXzxx0HprcKockBxN8CcTykzgM5XaXSBOa,0.603088,3.258906,1.50645
7800,fFLMKTU82v7eFyH9k7I3StdQJI8SsAvXzxx0HprcKockBxN8CcTykzgM5XaXSBOa,0.351885,2.885907,1.403232
8100,fFLMKTU82v7eFyH9k7I3StdQJI8SsAvXzxx0HprcKockBxN8CcTykzgM5XaXSBOa,0.540367,3.247207,1.527047
8400,fFLMKTU82v7eFyH9k7I3StdQJI8SsAvXzxx0HprcKockBxN8CcTykzgM5XaXSBOa,0.485804,3.439945,1.442104
8700,fFLMKTU82v7eFyH9k7I3StdQJI8SsAvXzxx0HprcKockBxN8CcTykzgM5XaXSBOa,0.62778,3.483857,1.523401
