timestamp,vm_id,min_cpu,avg_cpu,max_cpu
0,fFNBBaPd+5vh4PZjIdxjBpqLjHg6WwZP57bqA9gwQ+Cc5oBQATpmHJ77IMv68EUf,20.611964,74.14254,55.85018
300,fFNBBaPd+5vh4PZjIdxjBpqLjHg6WwZP57bqA9gwQ+Cc5oBQATpmHJ77IMv68EUf,17.352168,67.42881899999999,51.958847
600,fFNBBaPd+5vh4PZjIdxjBpqLjHg6WwZP57bqA9gwQ+Cc5oBQATpmHJ77IMv68EUf,19.433894,77.407738,52.691807
900,fFNBBaPd+5vh4PZjIdxjBpqLjHg6WwZP57bqA9gwQ+Cc5oBQATpmHJ77IMv68EUf,4.348686,88.729671,38.196172999999995
1200,fFNBBaPd+5vh4PZjIdxjBpqLjHg6WwZP57bqA9gwQ+Cc5oBQATpmHJ77IMv68EUf,8.158759,82.966474,61.34925
1500,fFNBBaPd+5vh4PZjIdxjBpqLjHg6WwZP57bqA9gwQ+Cc5oBQATpmHJ77IMv68EUf,25.10043,82.13816700000001,69.248145
1800,fFNBBaPd+5vh4PZjIdxjBpqLjHg6WwZP57bqA9gwQ+Cc5oBQATpmHJ77IMv68EUf,34.901748,91.894925,69.61550600000001
2100,fFNBBaPd+5vh4PZjIdxjBpqLjHg6WwZP57bqA9gwQ+Cc5oBQATpmHJ77IMv68EUf,19.045282999999998,77.157955,60.125459
2400,fFNBBaPd+5vh4PZjIdxjBpqLjHg6WwZP57bqA9gwQ+Cc5oBQATpmHJ77IMv68EUf,4.210493,35.060457,9.583364999999999
2700,fFNBBaPd+5vh4PZjIdxjBpqLjHg6WwZP57bqA9gwQ+Cc5oBQATpmHJ77IMv68EUf,0.299456,0.31545300000000004,0.30745500000000003
