timestamp,vm_id,min_cpu,avg_cpu,max_cpu
0,fLCtpDjxIMB/gWkhRhIbgQfSH7ZeYgmqzQ5bjYLSEVduhn/Dwp66pNZ5DavwJhOr,55.72639,97.744939,85.46341899999999
300,fLCtpDjxIMB/gWkhRhIbgQfSH7ZeYgmqzQ5bjYLSEVduhn/Dwp66pNZ5DavwJhOr,43.778956,98.146792,74.127003
600,fLCtpDjxIMB/gWkhRhIbgQfSH7ZeYgmqzQ5bjYLSEVduhn/Dwp66pNZ5DavwJhOr,44.286248,98.353914,73.619509
900,fLCtpDjxIMB/gWkhRhIbgQfSH7ZeYgmqzQ5bjYLSEVduhn/Dwp66pNZ5DavwJhOr,45.821905,98.03933,78.114885
1200,fLCtpDjxIMB/gWkhRhIbgQfSH7ZeYgmqzQ5bjYLSEVduhn/Dwp66pNZ5DavwJhOr,46.507356,98.281109,75.26423
1500,fLCtpDjxIMB/gWkhRhIbgQfSH7ZeYgmqzQ5bjYLSEVduhn/Dwp66pNZ5DavwJhOr,45.031634999999994,98.151338,73.085982
1800,fLCtpDjxIMB/gWkhRhIbgQfSH7ZeYgmqzQ5bjYLSEVduhn/Dwp66pNZ5DavwJhOr,43.982605,98.111395,72.148895
2100,fLCtpDjxIMB/gWkhRhIbgQfSH7ZeYgmqzQ5bjYLSEVduhn/Dwp66pNZ5DavwJhOr,43.748591,98.017096,71.826212
2400,fLCtpDjxIMB/gWkhRhIbgQfSH7ZeYgmqzQ5bjYLSEVduhn/Dwp66pNZ5DavwJhOr,47.311528,98.32082,74.00728000000001
2700,fLCtpDjxIMB/gWkhRhIbgQfSH7ZeYgmqzQ5bjYLSEVduhn/Dwp66pNZ5DavwJhOr,45.993102,98.109605,73.754579
3000,fLCtpDjxIMB/gWkhRhIbgQfSH7ZeYgmqzQ5bjYLSEVduhn/Dwp66pNZ5DavwJhOr,48.863463,98.137345,75.38316999999999
3300,fLCtpDjxIMB/gWkhRhIbgQfSH7ZeYgmqzQ5bjYLSEVduhn/Dwp66pNZ5DavwJhOr,47.467096000000005,98.438925,74.576947
3600,fLCtpDjxIMB/gWkhRhIbgQfSH7ZeYgmqzQ5bjYLSEVduhn/Dwp66pNZ5DavwJhOr,45.701525,98.36055999999999,74.65292
3900,fLCtpDjxIMB/gWkhRhIbgQfSH7ZeYgmqzQ5bjYLSEVduhn/Dwp66pNZ5DavwJhOr,44.594736,98.333538,72.382705
4200,fLCtpDjxIMB/gWkhRhIbgQfSH7ZeYgmqzQ5bjYLSEVduhn/Dwp66pNZ5DavwJhOr,45.892728000000005,98.390417,72.96059100000001
4500,fLCtpDjxIMB/gWkhRhIbgQfSH7ZeYgmqzQ5bjYLSEVduhn/Dwp66pNZ5DavwJhOr,45.433492,98.263568,72.487511
4800,fLCtpDjxIMB/gWkhRhIbgQfSH7ZeYgmqzQ5bjYLSEVduhn/Dwp66pNZ5DavwJhOr,47.538802000000004,98.306501,73.862214
5100,fLCtpDjxIMB/gWkhRhIbgQfSH7ZeYgmqzQ5bjYLSEVduhn/Dwp66pNZ5DavwJhOr,0.287664,41.504684000000005,13.264104999999999
