timestamp,vm_id,min_cpu,avg_cpu,max_cpu
0,feh9+W/0471HrzKJWy3SD96XutWuFkTMN8RHJVEhwf5Xfin05IllAgMqomfTjGtf,1.55011,4.564316000000001,3.185351
300,feh9+W/0471HrzKJWy3SD96XutWuFkTMN8RHJVEhwf5Xfin05IllAgMqomfTjGtf,1.971989,4.397828,3.283955
600,feh9+W/0471HrzKJWy3SD96XutWuFkTMN8RHJVEhwf5Xfin05IllAgMqomfTjGtf,4.761712,98.516552,60.841874
900,feh9+W/0471HrzKJWy3SD96XutWuFkTMN8RHJVEhwf5Xfin05IllAgMqomfTjGtf,7.492624,98.708934,65.086966
1200,feh9+W/0471HrzKJWy3SD96XutWuFkTMN8RHJVEhwf5Xfin05IllAgMqomfTjGtf,2.358387,98.817251,40.480212
1500,feh9+W/0471HrzKJWy3SD96XutWuFkTMN8RHJVEhwf5Xfin05IllAgMqomfTjGtf,37.824422999999996,98.386251,70.081629
1800,feh9+W/0471HrzKJWy3SD96XutWuFkTMN8RHJVEhwf5Xfin05IllAgMqomfTjGtf,6.272733000000001,98.920601,58.482588
2100,feh9+W/0471HrzKJWy3SD96XutWuFkTMN8RHJVEhwf5Xfin05IllAgMqomfTjGtf,1.629522,49.44858,6.430092
2400,feh9+W/0471HrzKJWy3SD96XutWuFkTMN8RHJVEhwf5Xfin05IllAgMqomfTjGtf,7.950274,98.853452,62.55254300000001
2700,feh9+W/0471HrzKJWy3SD96XutWuFkTMN8RHJVEhwf5Xfin05IllAgMqomfTjGtf,2.0854880000000002,98.63381,27.642153999999998
3000,feh9+W/0471HrzKJWy3SD96XutWuFkTMN8RHJVEhwf5Xfin05IllAgMqomfTjGtf,0.8744190000000001,4.500335,3.19003
3300,feh9+W/0471HrzKJWy3SD96XutWuFkTMN8RHJVEhwf5Xfin05IllAgMqomfTjGtf,2.346572,98.580698,48.258057
3600,feh9+W/0471HrzKJWy3SD96XutWuFkTMN8RHJVEhwf5Xfin05IllAgMqomfTjGtf,10.541376,98.538583,62.211796
3900,feh9+W/0471HrzKJWy3SD96XutWuFkTMN8RHJVEhwf5Xfin05IllAgMqomfTjGtf,1.855198,37.745128,6.559794999999999
4200,feh9+W/0471HrzKJWy3SD96XutWuFkTMN8RHJVEhwf5Xfin05IllAgMqomfTjGtf,1.789697,98.55635,12.483736
4500,feh9+W/0471HrzKJWy3SD96XutWuFkTMN8RHJVEhwf5Xfin05IllAgMqomfTjGtf,29.784171,98.313652,67.825091
4800,feh9+W/0471HrzKJWy3SD96XutWuFkTMN8RHJVEhwf5Xfin05IllAgMqomfTjGtf,14.557623000000001,98.71230899999999,61.756028
5100,feh9+W/0471HrzKJWy3SD96XutWuFkTMN8RHJVEhwf5Xfin05IllAgMqomfTjGtf,1.71924,4.883075,3.3904940000000003
5400,feh9+W/0471HrzKJWy3SD96XutWuFkTMN8RHJVEhwf5Xfin05IllAgMqomfTjGtf,1.975457,43.971094,6.136979
5700,feh9+W/0471HrzKJWy3SD96XutWuFkTMN8RHJVEhwf5Xfin05IllAgMqomfTjGtf,1.768618,98.66651,22.639732000000002
6000,feh9+W/0471HrzKJWy3SD96XutWuFkTMN8RHJVEhwf5Xfin05IllAgMqomfTjGtf,2.229618,4.557304,3.382635
6300,feh9+W/0471HrzKJWy3SD96XutWuFkTMN8RHJVEhwf5Xfin05IllAgMqomfTjGtf,2.051293,4.567945,3.373154
6600,feh9+W/0471HrzKJWy3SD96XutWuFkTMN8RHJVEhwf5Xfin05IllAgMqomfTjGtf,1.156274,4.412267,3.304075
6900,feh9+W/0471HrzKJWy3SD96XutWuFkTMN8RHJVEhwf5Xfin05IllAgMqomfTjGtf,1.8741439999999998,98.759751,47.257676000000004
7200,feh9+W/0471HrzKJWy3SD96XutWuFkTMN8RHJVEhwf5Xfin05IllAgMqomfTjGtf,38.873047,98.275932,69.680277
7500,feh9+W/0471HrzKJWy3SD96XutWuFkTMN8RHJVEhwf5Xfin05IllAgMqomfTjGtf,2.149516,98.927499,32.719477000000005
7800,feh9+W/0471HrzKJWy3SD96XutWuFkTMN8RHJVEhwf5Xfin05IllAgMqomfTjGtf,0.9143610000000001,4.568639,3.234898
8100,feh9+W/0471HrzKJWy3SD96XutWuFkTMN8RHJVEhwf5Xfin05IllAgMqomfTjGtf,2.1452310000000003,4.446116,3.375003
8400,feh9+W/0471HrzKJWy3SD96XutWuFkTMN8RHJVEhwf5Xfin05IllAgMqomfTjGtf,2.467876,98.59401,52.580447
8700,feh9+W/0471HrzKJWy3SD96XutWuFkTMN8RHJVEhwf5Xfin05IllAgMqomfTjGtf,0.982425,98.41794499999999,18.775192
9000,feh9+W/0471HrzKJWy3SD96XutWuFkTMN8RHJVEhwf5Xfin05IllAgMqomfTjGtf,1.379721,4.634958999999999,3.242021
9300,feh9+W/0471HrzKJWy3SD96XutWuFkTMN8RHJVEhwf5Xfin05IllAgMqomfTjGtf,1.720721,4.808622,3.35258
9600,feh9+W/0471HrzKJWy3SD96XutWuFkTMN8RHJVEhwf5Xfin05IllAgMqomfTjGtf,1.747773,4.474817,3.269781
9900,feh9+W/0471HrzKJWy3SD96XutWuFkTMN8RHJVEhwf5Xfin05IllAgMqomfTjGtf,0.9009790000000001,4.449693,3.252961
