timestamp,vm_id,min_cpu,avg_cpu,max_cpu
0,fqYIMLoScIS9RGZiF0p6L5YOGV+Pav769DH1u0M5aUeJ3AHTFV3NDYkpOHIznDZz,0.004196,0.622158,0.171648
300,fqYIMLoScIS9RGZiF0p6L5YOGV+Pav769DH1u0M5aUeJ3AHTFV3NDYkpOHIznDZz,0.037407,2.127968,0.27769499999999997
600,fqYIMLoScIS9RGZiF0p6L5YOGV+Pav769DH1u0M5aUeJ3AHTFV3NDYkpOHIznDZz,0.023106,0.737916,0.168087
900,fqYIMLoScIS9RGZiF0p6L5YOGV+Pav769DH1u0M5aUeJ3AHTFV3NDYkpOHIznDZz,0.011676,2.363441,0.25111700000000003
1200,fqYIMLoScIS9RGZiF0p6L5YOGV+Pav769DH1u0M5aUeJ3AHTFV3NDYkpOHIznDZz,0.036982999999999995,0.601857,0.173013
1500,fqYIMLoScIS9RGZiF0p6L5YOGV+Pav769DH1u0M5aUeJ3AHTFV3NDYkpOHIznDZz,0.019761,0.763141,0.181253
1800,fqYIMLoScIS9RGZiF0p6L5YOGV+Pav769DH1u0M5aUeJ3AHTFV3NDYkpOHIznDZz,0.043712,3.944129,0.6200640000000001
2100,fqYIMLoScIS9RGZiF0p6L5YOGV+Pav769DH1u0M5aUeJ3AHTFV3NDYkpOHIznDZz,0.075772,90.593067,4.121599
2400,fqYIMLoScIS9RGZiF0p6L5YOGV+Pav769DH1u0M5aUeJ3AHTFV3NDYkpOHIznDZz,0.344125,70.471692,13.092489
2700,fqYIMLoScIS9RGZiF0p6L5YOGV+Pav769DH1u0M5aUeJ3AHTFV3NDYkpOHIznDZz,0.013548,41.34028,5.054854
