timestamp,vm_id,min_cpu,avg_cpu,max_cpu
0,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.470259,2.880946,2.04336
300,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.288325,3.464778,1.9973759999999998
600,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.262613,3.504625,2.396968
900,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.6970580000000002,2.841494,2.334445
1200,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.544345,3.767025,2.425125
1500,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.540743,3.320435,2.534436
1800,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.506271,2.866816,1.827203
2100,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.232953,3.701486,2.08523
2400,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.280384,3.124825,2.2856650000000003
2700,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.58675,3.831669,2.300727
3000,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.512526,22.906111,4.1626959999999995
3300,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.621984,3.2960339999999997,2.4092029999999998
3600,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.6444009999999998,3.9636739999999997,2.300592
3900,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.386534,4.451369000000001,2.144531
4200,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.354355,3.373861,2.556378
4500,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.197938,2.580821,1.888716
4800,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.3454700000000002,4.27718,2.1464950000000003
5100,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,0.9271799999999999,3.3851129999999996,2.352579
5400,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.2874510000000001,26.868188,4.566621
5700,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.260152,44.316062,9.621797
6000,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.470568,3.8691050000000002,2.58445
6300,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.646813,3.881857,2.5180860000000003
6600,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.325958,25.568215,4.450034
6900,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.192321,3.664764,2.55307
7200,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.6933919999999998,5.578982,2.492324
7500,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.247762,3.9134830000000003,2.117105
7800,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.450442,3.094217,2.2824009999999997
8100,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.2121110000000002,3.663871,2.1902009999999996
8400,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.562397,3.453877,2.281156
8700,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.612092,3.192437,2.411781
9000,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.497816,3.6182260000000004,2.109117
9300,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.313616,3.4837550000000004,2.021194
9600,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.324066,2.833417,2.100978
9900,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.193799,3.778803,1.8502509999999999
10200,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.2951059999999999,13.902014000000001,4.0889690000000005
10500,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.21574,2.806956,2.0716509999999997
10800,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.314308,3.7172160000000005,2.112175
11100,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.330951,3.187691,2.056216
11400,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.800313,3.12867,2.389519
11700,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.5982690000000002,3.852765,2.242007
12000,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.6805919999999999,3.944662,2.326506
12300,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.7196209999999998,3.1489279999999997,2.4704330000000003
12600,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.344967,12.665897,3.11715
12900,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.291943,3.344754,2.150451
13200,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.653448,4.884055,2.55697
13500,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.354824,3.366733,2.059941
13800,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.417582,23.532301999999998,6.168581
14100,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.37735,2.810568,2.137306
14400,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.489157,3.3320510000000003,2.180527
14700,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.44697,3.791749,2.398238
15000,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.41975,2.855163,2.0678520000000002
15300,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.3814879999999998,4.811648,2.365615
15600,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.457429,3.1831099999999997,2.1044389999999997
15900,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.536611,3.8277010000000002,2.357695
16200,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.436118,3.163935,2.092246
16500,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.3005229999999999,4.135658,2.2656669999999997
16800,g43/2jj9NPeAfLNdvaUKVe9c/pfxnF6xYB4Lx20N5DNNrdkOOcG5dLfQi2d5gu1k,1.518512,10.818228,3.285113
