timestamp,vm_id,min_cpu,avg_cpu,max_cpu
0,gC5IwMU/cachYAJl9O9CQGoeYGiGacHrUVdvefRvMZqQuV5PKaj4c3qNCRcxq5zD,3.381307,7.571111999999999,5.134504
300,gC5IwMU/cachYAJl9O9CQGoeYGiGacHrUVdvefRvMZqQuV5PKaj4c3qNCRcxq5zD,0.722734,4.342169999999999,3.5289599999999997
600,gC5IwMU/cachYAJl9O9CQGoeYGiGacHrUVdvefRvMZqQuV5PKaj4c3qNCRcxq5zD,4.340501000000001,4.823424,4.718939
900,gC5IwMU/cachYAJl9O9CQGoeYGiGacHrUVdvefRvMZqQuV5PKaj4c3qNCRcxq5zD,0.437571,4.768075,3.727446
1200,gC5IwMU/cachYAJl9O9CQGoeYGiGacHrUVdvefRvMZqQuV5PKaj4c3qNCRcxq5zD,3.373822,4.201808,3.797942
1500,gC5IwMU/cachYAJl9O9CQGoeYGiGacHrUVdvefRvMZqQuV5PKaj4c3qNCRcxq5zD,0.44647600000000004,4.119693,3.4430410000000005
1800,gC5IwMU/cachYAJl9O9CQGoeYGiGacHrUVdvefRvMZqQuV5PKaj4c3qNCRcxq5zD,3.5047989999999998,4.036127,3.789131
2100,gC5IwMU/cachYAJl9O9CQGoeYGiGacHrUVdvefRvMZqQuV5PKaj4c3qNCRcxq5zD,0.669471,7.755203999999999,5.013083
2400,gC5IwMU/cachYAJl9O9CQGoeYGiGacHrUVdvefRvMZqQuV5PKaj4c3qNCRcxq5zD,6.716975,7.686750999999999,7.061404
2700,gC5IwMU/cachYAJl9O9CQGoeYGiGacHrUVdvefRvMZqQuV5PKaj4c3qNCRcxq5zD,7.415463000000001,9.292472,8.732560000000001
3000,gC5IwMU/cachYAJl9O9CQGoeYGiGacHrUVdvefRvMZqQuV5PKaj4c3qNCRcxq5zD,6.883927000000001,9.256867,8.294977000000001
3300,gC5IwMU/cachYAJl9O9CQGoeYGiGacHrUVdvefRvMZqQuV5PKaj4c3qNCRcxq5zD,2.091023,3.9249699999999996,2.7383330000000004
