timestamp,vm_id,min_cpu,avg_cpu,max_cpu
0,g/8Ji6Ff3IF06LaVLOhzFjg8E7w8f/ZrNVaUIMcAxp1uKCvtilf8GNHeJ4pHAJ2z,1.842968,3.674544,2.598981
300,g/8Ji6Ff3IF06LaVLOhzFjg8E7w8f/ZrNVaUIMcAxp1uKCvtilf8GNHeJ4pHAJ2z,1.812403,6.710694,2.9573009999999997
600,g/8Ji6Ff3IF06LaVLOhzFjg8E7w8f/ZrNVaUIMcAxp1uKCvtilf8GNHeJ4pHAJ2z,1.7436630000000002,3.661601,2.653548
900,g/8Ji6Ff3IF06LaVLOhzFjg8E7w8f/ZrNVaUIMcAxp1uKCvtilf8GNHeJ4pHAJ2z,1.7785360000000001,3.7359660000000003,2.503145
1200,g/8Ji6Ff3IF06LaVLOhzFjg8E7w8f/ZrNVaUIMcAxp1uKCvtilf8GNHeJ4pHAJ2z,1.274494,3.518325,2.351785
1500,g/8Ji6Ff3IF06LaVLOhzFjg8E7w8f/ZrNVaUIMcAxp1uKCvtilf8GNHeJ4pHAJ2z,1.726631,3.718803,2.626211
1800,g/8Ji6Ff3IF06LaVLOhzFjg8E7w8f/ZrNVaUIMcAxp1uKCvtilf8GNHeJ4pHAJ2z,1.858066,80.83941800000001,10.654357000000001
2100,g/8Ji6Ff3IF06LaVLOhzFjg8E7w8f/ZrNVaUIMcAxp1uKCvtilf8GNHeJ4pHAJ2z,1.916268,6.861038000000001,2.9581419999999996
2400,g/8Ji6Ff3IF06LaVLOhzFjg8E7w8f/ZrNVaUIMcAxp1uKCvtilf8GNHeJ4pHAJ2z,1.547491,3.574632,2.633052
2700,g/8Ji6Ff3IF06LaVLOhzFjg8E7w8f/ZrNVaUIMcAxp1uKCvtilf8GNHeJ4pHAJ2z,1.861889,3.7997099999999997,2.617502
3000,g/8Ji6Ff3IF06LaVLOhzFjg8E7w8f/ZrNVaUIMcAxp1uKCvtilf8GNHeJ4pHAJ2z,1.875373,5.203504,2.7000189999999997
3300,g/8Ji6Ff3IF06LaVLOhzFjg8E7w8f/ZrNVaUIMcAxp1uKCvtilf8GNHeJ4pHAJ2z,1.845275,3.386601,2.630486
3600,g/8Ji6Ff3IF06LaVLOhzFjg8E7w8f/ZrNVaUIMcAxp1uKCvtilf8GNHeJ4pHAJ2z,1.905718,6.866631,3.110562
