timestamp,vm_id,min_cpu,avg_cpu,max_cpu
0,goEnBc7g9FIXdSGeLAmEsLJD1rCiZPvXeQ/TEOdxNyBXYsdN+3cCuKgjkhPdA8wT,10.039054,10.664488,10.389697
300,goEnBc7g9FIXdSGeLAmEsLJD1rCiZPvXeQ/TEOdxNyBXYsdN+3cCuKgjkhPdA8wT,7.524782000000001,10.679152,9.845827
600,goEnBc7g9FIXdSGeLAmEsLJD1rCiZPvXeQ/TEOdxNyBXYsdN+3cCuKgjkhPdA8wT,9.190998,10.463687,9.998201
900,goEnBc7g9FIXdSGeLAmEsLJD1rCiZPvXeQ/TEOdxNyBXYsdN+3cCuKgjkhPdA8wT,9.142559,10.557396,9.907136999999999
1200,goEnBc7g9FIXdSGeLAmEsLJD1rCiZPvXeQ/TEOdxNyBXYsdN+3cCuKgjkhPdA8wT,8.890423,10.79566,9.983597
1500,goEnBc7g9FIXdSGeLAmEsLJD1rCiZPvXeQ/TEOdxNyBXYsdN+3cCuKgjkhPdA8wT,9.183544,11.785913,10.300688000000001
1800,goEnBc7g9FIXdSGeLAmEsLJD1rCiZPvXeQ/TEOdxNyBXYsdN+3cCuKgjkhPdA8wT,9.271208999999999,10.787306,10.049949
2100,goEnBc7g9FIXdSGeLAmEsLJD1rCiZPvXeQ/TEOdxNyBXYsdN+3cCuKgjkhPdA8wT,8.521139999999999,11.482825,9.600629
2400,goEnBc7g9FIXdSGeLAmEsLJD1rCiZPvXeQ/TEOdxNyBXYsdN+3cCuKgjkhPdA8wT,8.016313,10.04378,8.810077
2700,goEnBc7g9FIXdSGeLAmEsLJD1rCiZPvXeQ/TEOdxNyBXYsdN+3cCuKgjkhPdA8wT,7.1535850000000005,9.005728,7.663239
3000,goEnBc7g9FIXdSGeLAmEsLJD1rCiZPvXeQ/TEOdxNyBXYsdN+3cCuKgjkhPdA8wT,7.265271,9.462953,7.8574660000000005
3300,goEnBc7g9FIXdSGeLAmEsLJD1rCiZPvXeQ/TEOdxNyBXYsdN+3cCuKgjkhPdA8wT,7.196696,8.495885000000001,7.682505
3600,goEnBc7g9FIXdSGeLAmEsLJD1rCiZPvXeQ/TEOdxNyBXYsdN+3cCuKgjkhPdA8wT,6.345802,10.907815,8.226055
3900,goEnBc7g9FIXdSGeLAmEsLJD1rCiZPvXeQ/TEOdxNyBXYsdN+3cCuKgjkhPdA8wT,6.69878,7.295363,6.969275
4200,goEnBc7g9FIXdSGeLAmEsLJD1rCiZPvXeQ/TEOdxNyBXYsdN+3cCuKgjkhPdA8wT,6.126575,9.468683,7.039942
4500,goEnBc7g9FIXdSGeLAmEsLJD1rCiZPvXeQ/TEOdxNyBXYsdN+3cCuKgjkhPdA8wT,6.288947,11.34525,7.393814999999999
4800,goEnBc7g9FIXdSGeLAmEsLJD1rCiZPvXeQ/TEOdxNyBXYsdN+3cCuKgjkhPdA8wT,2.624318,2.661763,2.64304
