timestamp,vm_id,min_cpu,avg_cpu,max_cpu
0,i5X7+XPcEN7UDO7bgebGzNwqnO3V9LgFyzO4nBTeuCW/CGubDISx60IQoQkFgPck,2.264082,3.5546800000000003,2.793977
300,i5X7+XPcEN7UDO7bgebGzNwqnO3V9LgFyzO4nBTeuCW/CGubDISx60IQoQkFgPck,2.264965,3.447157,2.69918
600,i5X7+XPcEN7UDO7bgebGzNwqnO3V9LgFyzO4nBTeuCW/CGubDISx60IQoQkFgPck,2.203144,4.022002,2.762285
900,i5X7+XPcEN7UDO7bgebGzNwqnO3V9LgFyzO4nBTeuCW/CGubDISx60IQoQkFgPck,2.367602,3.692111,2.807761
1200,i5X7+XPcEN7UDO7bgebGzNwqnO3V9LgFyzO4nBTeuCW/CGubDISx60IQoQkFgPck,2.1752029999999998,3.645606,2.65271
1500,i5X7+XPcEN7UDO7bgebGzNwqnO3V9LgFyzO4nBTeuCW/CGubDISx60IQoQkFgPck,2.19698,4.0818,2.818852
1800,i5X7+XPcEN7UDO7bgebGzNwqnO3V9LgFyzO4nBTeuCW/CGubDISx60IQoQkFgPck,2.1277220000000003,3.7845470000000003,2.763913
2100,i5X7+XPcEN7UDO7bgebGzNwqnO3V9LgFyzO4nBTeuCW/CGubDISx60IQoQkFgPck,2.151636,3.476573,2.684403
2400,i5X7+XPcEN7UDO7bgebGzNwqnO3V9LgFyzO4nBTeuCW/CGubDISx60IQoQkFgPck,2.21938,3.3815190000000004,2.773317
2700,i5X7+XPcEN7UDO7bgebGzNwqnO3V9LgFyzO4nBTeuCW/CGubDISx60IQoQkFgPck,2.222825,3.6415029999999997,2.7799080000000003
3000,i5X7+XPcEN7UDO7bgebGzNwqnO3V9LgFyzO4nBTeuCW/CGubDISx60IQoQkFgPck,2.1076799999999998,3.8706949999999996,2.720581
3300,i5X7+XPcEN7UDO7bgebGzNwqnO3V9LgFyzO4nBTeuCW/CGubDISx60IQoQkFgPck,2.286785,13.113504,3.844039
3600,i5X7+XPcEN7UDO7bgebGzNwqnO3V9LgFyzO4nBTeuCW/CGubDISx60IQoQkFgPck,2.368735,3.75325,2.790161
3900,i5X7+XPcEN7UDO7bgebGzNwqnO3V9LgFyzO4nBTeuCW/CGubDISx60IQoQkFgPck,2.398695,5.73775,2.9976990000000003
4200,i5X7+XPcEN7UDO7bgebGzNwqnO3V9LgFyzO4nBTeuCW/CGubDISx60IQoQkFgPck,2.3697,3.6045260000000003,2.807362
4500,i5X7+XPcEN7UDO7bgebGzNwqnO3V9LgFyzO4nBTeuCW/CGubDISx60IQoQkFgPck,2.2806759999999997,3.588108,2.77707
4800,i5X7+XPcEN7UDO7bgebGzNwqnO3V9LgFyzO4nBTeuCW/CGubDISx60IQoQkFgPck,2.210336,3.7394239999999996,2.6650139999999998
5100,i5X7+XPcEN7UDO7bgebGzNwqnO3V9LgFyzO4nBTeuCW/CGubDISx60IQoQkFgPck,2.269416,3.306896,2.755554
5400,i5X7+XPcEN7UDO7bgebGzNwqnO3V9LgFyzO4nBTeuCW/CGubDISx60IQoQkFgPck,2.122026,3.6625160000000005,2.778355
5700,i5X7+XPcEN7UDO7bgebGzNwqnO3V9LgFyzO4nBTeuCW/CGubDISx60IQoQkFgPck,2.214571,3.644113,2.699263
6000,i5X7+XPcEN7UDO7bgebGzNwqnO3V9LgFyzO4nBTeuCW/CGubDISx60IQoQkFgPck,2.075666,3.650412,2.818391
6300,i5X7+XPcEN7UDO7bgebGzNwqnO3V9LgFyzO4nBTeuCW/CGubDISx60IQoQkFgPck,2.1073049999999998,3.425036,2.729891
