timestamp,vm_id,min_cpu,avg_cpu,max_cpu
0,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.4168439999999998,4.031384,3.0533900000000003
300,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.8981169999999996,12.672882000000001,4.45981
600,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.622028,5.386522,3.408943
900,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.498814,3.363089,2.922797
1200,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.334921,4.022933999999999,3.1059490000000003
1500,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.2133979999999998,4.89289,3.2408040000000002
1800,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.663406,5.343744,3.3734949999999997
2100,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.568439,12.467721000000001,4.319896
2400,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.311212,4.256263,3.33701
2700,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.460216,3.886968,2.9982349999999998
3000,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.390177,9.604654,3.699667
3300,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.343211,5.028794,3.2326799999999998
3600,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,1.985197,4.0005440000000005,2.941341
3900,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.379432,10.690977,3.9672620000000003
4200,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.499731,6.254935,3.360849
4500,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.405291,5.8238330000000005,3.3607650000000002
4800,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.430237,4.250698000000001,3.143817
5100,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.842795,4.625493,3.4357050000000005
5400,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.56007,3.9595830000000003,3.1444080000000003
5700,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.37652,11.235369,3.88004
6000,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.520121,3.981947,3.140859
6300,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,1.9058549999999999,3.7987480000000002,2.94489
6600,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.4886459999999997,9.948536,3.855165
6900,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,1.6560130000000002,4.5722760000000005,3.271857
7200,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.548261,4.828087,3.373821
7500,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.5883130000000003,7.5843869999999995,4.200658
7800,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.797672,4.044585,3.269833
8100,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.7246669999999997,3.962787,3.192605
8400,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.508317,4.1580699999999995,3.133342
8700,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.508627,4.911575,3.120407
9000,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,1.494205,3.8420099999999997,3.047217
9300,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.49438,8.75796,4.035278
9600,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.50501,4.543057,3.049737
9900,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.7551080000000003,4.524983,3.3863550000000004
10200,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.5614790000000003,9.780038000000001,4.042371
10500,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.468614,4.425105,3.308218
10800,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.3856040000000003,4.2685699999999995,3.203543
11100,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,1.9247169999999998,9.597353,4.094040000000001
11400,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.507831,4.606612,3.171072
11700,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.218668,4.2192110000000005,3.232438
12000,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.44097,4.090469000000001,3.115524
12300,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,1.8779310000000002,4.358141000000001,2.983341
12600,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.4554139999999998,4.09363,3.070234
12900,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.3721970000000003,10.558449000000001,3.9681830000000002
13200,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.288176,9.642005000000001,3.7611209999999997
13500,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.574757,4.457911,3.281768
13800,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.4028259999999997,9.966828999999999,3.995193
14100,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,1.7248580000000002,3.7933800000000004,2.947309
14400,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.6126259999999997,31.406049,12.798133
14700,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.474137,10.472622,4.292485
15000,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.367086,5.983671,3.411345
15300,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.450869,4.07763,3.166717
15600,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.312246,7.55403,3.620627
15900,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.423076,3.955664,3.121322
16200,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.293629,4.330967,3.202856
16500,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.654633,9.811294,4.214303
16800,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.583279,4.611088,3.435002
17100,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.290763,4.863504,3.020836
17400,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.477331,9.33133,3.7025959999999998
17700,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.1846,4.413665,3.088438
18000,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.35878,3.956199,3.13068
18300,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.321661,8.503546,4.16803
18600,iXi49P+A0/17d7/J1+tcljSFGftfjo2odidJihWcD5imV6au0pmzIAaw6d0TXUrR,2.345923,3.97769,3.151926
