timestamp,vm_id,min_cpu,avg_cpu,max_cpu
0,ic+5bHOa4I8IsbY13fikbIQO1sH3ru6rXY/m30G+/VfU9efWMrftVR9YZWgsTOuM,10.950538,13.784262,12.150083
300,ic+5bHOa4I8IsbY13fikbIQO1sH3ru6rXY/m30G+/VfU9efWMrftVR9YZWgsTOuM,8.397928,12.404200999999999,10.461288
600,ic+5bHOa4I8IsbY13fikbIQO1sH3ru6rXY/m30G+/VfU9efWMrftVR9YZWgsTOuM,8.447298,11.937686,9.676245
900,ic+5bHOa4I8IsbY13fikbIQO1sH3ru6rXY/m30G+/VfU9efWMrftVR9YZWgsTOuM,8.035092,12.887637,9.017227
1200,ic+5bHOa4I8IsbY13fikbIQO1sH3ru6rXY/m30G+/VfU9efWMrftVR9YZWgsTOuM,8.36835,8.830447999999999,8.602378
1500,ic+5bHOa4I8IsbY13fikbIQO1sH3ru6rXY/m30G+/VfU9efWMrftVR9YZWgsTOuM,7.408133,13.30135,9.222679
1800,ic+5bHOa4I8IsbY13fikbIQO1sH3ru6rXY/m30G+/VfU9efWMrftVR9YZWgsTOuM,8.453019,9.193955,8.748208
2100,ic+5bHOa4I8IsbY13fikbIQO1sH3ru6rXY/m30G+/VfU9efWMrftVR9YZWgsTOuM,8.5568,9.068797,8.793723
2400,ic+5bHOa4I8IsbY13fikbIQO1sH3ru6rXY/m30G+/VfU9efWMrftVR9YZWgsTOuM,8.516063,9.109416,8.806861999999999
2700,ic+5bHOa4I8IsbY13fikbIQO1sH3ru6rXY/m30G+/VfU9efWMrftVR9YZWgsTOuM,8.376342,9.352095,8.798527
3000,ic+5bHOa4I8IsbY13fikbIQO1sH3ru6rXY/m30G+/VfU9efWMrftVR9YZWgsTOuM,8.468687,9.853726,8.867816
3300,ic+5bHOa4I8IsbY13fikbIQO1sH3ru6rXY/m30G+/VfU9efWMrftVR9YZWgsTOuM,8.299388,9.137331,8.664133
3600,ic+5bHOa4I8IsbY13fikbIQO1sH3ru6rXY/m30G+/VfU9efWMrftVR9YZWgsTOuM,8.306577,9.326416,8.68492
3900,ic+5bHOa4I8IsbY13fikbIQO1sH3ru6rXY/m30G+/VfU9efWMrftVR9YZWgsTOuM,8.21401,8.820341,8.569410000000001
4200,ic+5bHOa4I8IsbY13fikbIQO1sH3ru6rXY/m30G+/VfU9efWMrftVR9YZWgsTOuM,8.246981,9.768382,8.769786999999999
4500,ic+5bHOa4I8IsbY13fikbIQO1sH3ru6rXY/m30G+/VfU9efWMrftVR9YZWgsTOuM,8.176213,12.200535,9.303550999999999
4800,ic+5bHOa4I8IsbY13fikbIQO1sH3ru6rXY/m30G+/VfU9efWMrftVR9YZWgsTOuM,7.3809070000000006,9.366353,8.462752
5100,ic+5bHOa4I8IsbY13fikbIQO1sH3ru6rXY/m30G+/VfU9efWMrftVR9YZWgsTOuM,6.988133,10.557872999999999,8.455469
5400,ic+5bHOa4I8IsbY13fikbIQO1sH3ru6rXY/m30G+/VfU9efWMrftVR9YZWgsTOuM,7.195506,7.909624000000001,7.608065
5700,ic+5bHOa4I8IsbY13fikbIQO1sH3ru6rXY/m30G+/VfU9efWMrftVR9YZWgsTOuM,7.1569020000000005,8.68016,7.710132000000001
6000,ic+5bHOa4I8IsbY13fikbIQO1sH3ru6rXY/m30G+/VfU9efWMrftVR9YZWgsTOuM,7.539966000000001,8.078457,7.7215419999999995
6300,ic+5bHOa4I8IsbY13fikbIQO1sH3ru6rXY/m30G+/VfU9efWMrftVR9YZWgsTOuM,6.468932,7.789510000000001,7.465876
6600,ic+5bHOa4I8IsbY13fikbIQO1sH3ru6rXY/m30G+/VfU9efWMrftVR9YZWgsTOuM,7.4743699999999995,8.191113,7.831792999999999
6900,ic+5bHOa4I8IsbY13fikbIQO1sH3ru6rXY/m30G+/VfU9efWMrftVR9YZWgsTOuM,6.935131,8.180366000000001,7.859789
7200,ic+5bHOa4I8IsbY13fikbIQO1sH3ru6rXY/m30G+/VfU9efWMrftVR9YZWgsTOuM,7.690061999999999,10.175592,8.294126
7500,ic+5bHOa4I8IsbY13fikbIQO1sH3ru6rXY/m30G+/VfU9efWMrftVR9YZWgsTOuM,5.97457,7.079034,6.582431
7800,ic+5bHOa4I8IsbY13fikbIQO1sH3ru6rXY/m30G+/VfU9efWMrftVR9YZWgsTOuM,4.902846,8.042626,6.341309
8100,ic+5bHOa4I8IsbY13fikbIQO1sH3ru6rXY/m30G+/VfU9efWMrftVR9YZWgsTOuM,0.184343,6.6000190000000005,2.733741
