timestamp,vm_id,min_cpu,avg_cpu,max_cpu
0,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,95.671522,97.603029,96.664523
300,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,19.595422,97.385545,67.18132800000001
600,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,1.077252,38.835278,20.476564
900,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,1.3133290000000002,2.522685,1.7314080000000003
1200,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,1.027876,2.29502,1.665275
1500,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,1.297208,2.1848549999999998,1.6408900000000002
1800,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,1.274449,2.43708,1.632044
2100,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,1.278091,2.099901,1.6115030000000001
2400,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,1.105399,2.109434,1.6388630000000002
2700,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,1.291993,4.692476,1.664305
3000,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,1.253814,2.225537,1.682612
3300,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,1.35035,2.106733,1.626685
3600,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,1.25491,2.234097,1.632398
3900,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,1.146919,2.441569,1.651982
4200,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,1.282705,2.1619740000000003,1.57231
4500,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,1.054786,2.094718,1.573926
4800,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,1.3170879999999998,2.178547,1.620356
5100,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,1.185648,2.195849,1.6440560000000002
5400,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,1.442962,2.356713,1.779708
5700,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,1.264378,2.2510369999999997,1.665187
6000,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,1.2119799999999998,2.066488,1.635828
6300,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,1.364093,2.731821,1.764191
6600,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,1.013486,2.139095,1.560389
6900,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,1.288486,2.246438,1.668885
7200,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,1.2464600000000001,2.1676900000000003,1.52815
7500,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,1.3644479999999999,2.325758,1.717687
7800,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,0.941226,2.313037,1.6560080000000001
8100,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,1.368479,2.247535,1.6944110000000001
8400,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,1.129413,2.141104,1.608384
8700,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,1.344388,1.9894720000000001,1.605832
9000,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,1.343621,2.140934,1.641634
9300,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,1.017425,2.265173,1.6511630000000002
9600,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,1.337862,2.15178,1.677141
9900,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,1.214157,4.357599,1.834918
10200,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,1.436376,2.3266139999999997,1.711498
10500,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,1.127564,2.237788,1.634521
10800,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,1.36358,2.341225,1.700089
11100,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,0.9965959999999999,2.882273,1.6675119999999999
11400,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,1.236005,2.339589,1.707584
11700,j8xrCk+n5wakU0pCwvWnueufeRdsa9b/G1XJpEMPZdYbTQxgicqi9x6LLujSWAfZ,1.4127120000000002,2.3646599999999998,1.740146
