timestamp,vm_id,min_cpu,avg_cpu,max_cpu
0,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,6.020335,28.880838,11.248897999999999
300,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.521504,21.553442,10.713914
600,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.55283,21.430453,10.808722999999999
900,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.762548000000001,21.675084,10.688676
1200,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.739898,19.36197,10.717741
1500,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.714226,21.558726999999998,10.461988999999999
1800,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.506621,23.522609,11.633662
2100,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,4.96055,18.952995,10.514281
2400,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.659566000000001,24.165469,10.600817
2700,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.142269000000001,22.028556,10.546919
3000,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.970964,21.367417,10.796592
3300,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.570863,21.093774,10.702932
3600,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.726587,21.256953,10.622551
3900,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.612108,21.863528,10.828176
4200,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.552339,21.189270999999998,10.909644
4500,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.175631,22.187078,10.333859
4800,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.598112,21.752603,10.86868
5100,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.0461599999999995,21.309519,10.627905
5400,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.196579,18.543745,11.305537
5700,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.9410110000000005,19.381359,10.79534
6000,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.736916000000001,20.56166,10.845460000000001
6300,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.917114,21.182311,10.563369
6600,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.586812999999999,19.880043,10.915616
6900,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.734108999999999,21.402472,10.820155
7200,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.207739,22.195688,10.771577
7500,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.798515,18.835865,11.099910000000001
7800,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.310181,21.211933,10.496751
8100,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.653407,20.536505,10.774466
8400,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.27682,20.022721,10.525433999999999
8700,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.239229,15.762765,10.843129
9000,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.169542,20.175028,11.048186999999999
9300,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,4.828854,20.377294,10.419166
9600,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.199351999999999,19.795439000000002,10.57912
9900,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,4.775949,20.049749,10.66945
10200,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.613341,18.951592,10.768446
10500,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,4.864731,22.108586,10.575864
10800,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.518915,21.799367999999998,10.895424
11100,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.04134,19.266601,10.883673
11400,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,4.076287000000001,22.720905,10.990128
11700,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.696232,21.520039999999998,11.061661
12000,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.520316,21.659989000000003,10.727631
12300,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.749721,21.198513000000002,10.61364
12600,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.16409,20.007573,11.141475
12900,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.859573,22.294286,10.568723
13200,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,4.786325,19.195442,10.954874
13500,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.35797,19.415163,10.750858000000001
13800,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,4.893707,17.984977999999998,10.725999
14100,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.7141519999999995,17.378332,11.062264
14400,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.640248000000001,21.235128,10.943486
14700,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.180738,20.969468,10.867758
15000,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.835575,20.141085999999998,10.757779
15300,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.252159,21.334213000000002,10.95668
15600,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.534766,22.715032,10.760894
15900,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.424316999999999,19.220765,10.760036
16200,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.2779300000000005,22.748044,10.992716
16500,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.545724,21.335653,10.608450999999999
16800,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,4.97325,21.585911,10.862165
17100,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.377224,18.471372,10.880962
17400,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.71106,21.337118,10.473391000000001
17700,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.144243,20.478917000000003,10.882539
18000,jJk9uwDd+4ZQ4EQYXDh6ioMiwpSgUFnlNYKz3Wm2wUfFRXr3aFjk7QmB+54Jlui1,5.593472,21.961144,10.973616999999999
