timestamp,vm_id,min_cpu,avg_cpu,max_cpu
0,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,38.028884999999995,84.542218,60.180075
300,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,39.635633,87.74454399999999,66.778191
600,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,59.775189000000005,92.218001,78.984257
900,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,75.338893,97.954635,92.380318
1200,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,19.175429,98.96993,63.085696
1500,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,1.575165,38.854621,7.208935
1800,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,1.9225009999999998,2.355896,2.191202
2100,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,2.26113,2.825739,2.455181
2400,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,2.057002,2.332263,2.234619
2700,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,2.195177,4.154465,2.578102
3000,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,2.171084,2.435742,2.318137
3300,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,2.218331,2.749366,2.4250580000000004
3600,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,1.758804,2.3447080000000002,2.233103
3900,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,2.1834029999999998,2.878822,2.4519919999999997
4200,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,1.6851909999999999,2.4166950000000003,2.199157
4500,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,2.25985,2.741412,2.4269849999999997
4800,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,2.0653639999999998,2.712291,2.3049060000000003
5100,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,2.171784,2.8353900000000003,2.545649
5400,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,1.8366169999999997,2.3703060000000002,2.226248
5700,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,2.059446,2.455854,2.301052
6000,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,1.6979009999999999,2.344249,2.216662
6300,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,2.0343709999999997,2.360274,2.243866
6600,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,2.161223,2.40006,2.2756369999999997
6900,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,2.0251189999999997,2.304426,2.196423
7200,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,2.007521,3.020296,2.544808
7500,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,2.084306,2.809974,2.404293
7800,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,2.293835,2.551454,2.361549
8100,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,2.2322889999999997,2.68552,2.381946
8400,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,1.9083189999999999,2.3540900000000002,2.253329
8700,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,2.290795,2.9427689999999997,2.475209
9000,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,2.0460130000000003,2.356169,2.245886
9300,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,2.072327,2.296664,2.168609
9600,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,1.9818419999999999,2.273731,2.1977580000000003
9900,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,1.833264,2.8556529999999998,2.253854
10200,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,2.189937,2.312303,2.247995
10500,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,1.590681,2.3872150000000003,2.1939290000000002
10800,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,1.592332,2.335175,2.1873549999999997
11100,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,2.049054,2.630035,2.3238659999999998
11400,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,1.74325,2.685553,2.268613
11700,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,1.959843,2.890345,2.371518
12000,jVYTtz8iI0aFBFBMZ/ezcniIybBr/sgJzf6Z56wVoeKJyFq303y1B7RDXH9cbYcK,1.966186,2.51716,2.223492
