timestamp,vm_id,min_cpu,avg_cpu,max_cpu
0,lNjtlRFnnong2WEwut+R1nn6Ep0v08ILwyXJj4yvI5s8aO3fpiWpDJY54iq2jnAQ,1.240256,99.027125,50.074797
300,lNjtlRFnnong2WEwut+R1nn6Ep0v08ILwyXJj4yvI5s8aO3fpiWpDJY54iq2jnAQ,1.171152,98.992515,50.029724
600,lNjtlRFnnong2WEwut+R1nn6Ep0v08ILwyXJj4yvI5s8aO3fpiWpDJY54iq2jnAQ,1.146958,99.73335,50.064391
900,lNjtlRFnnong2WEwut+R1nn6Ep0v08ILwyXJj4yvI5s8aO3fpiWpDJY54iq2jnAQ,1.154711,98.760133,49.926642
1200,lNjtlRFnnong2WEwut+R1nn6Ep0v08ILwyXJj4yvI5s8aO3fpiWpDJY54iq2jnAQ,1.2098360000000001,98.967639,50.012553999999994
1500,lNjtlRFnnong2WEwut+R1nn6Ep0v08ILwyXJj4yvI5s8aO3fpiWpDJY54iq2jnAQ,1.191686,98.93906199999999,50.031475
1800,lNjtlRFnnong2WEwut+R1nn6Ep0v08ILwyXJj4yvI5s8aO3fpiWpDJY54iq2jnAQ,1.220325,99.022571,50.024824
2100,lNjtlRFnnong2WEwut+R1nn6Ep0v08ILwyXJj4yvI5s8aO3fpiWpDJY54iq2jnAQ,1.216209,99.008555,50.085264
2400,lNjtlRFnnong2WEwut+R1nn6Ep0v08ILwyXJj4yvI5s8aO3fpiWpDJY54iq2jnAQ,1.170979,98.828148,49.994554
2700,lNjtlRFnnong2WEwut+R1nn6Ep0v08ILwyXJj4yvI5s8aO3fpiWpDJY54iq2jnAQ,1.224005,98.73714,49.944943
3000,lNjtlRFnnong2WEwut+R1nn6Ep0v08ILwyXJj4yvI5s8aO3fpiWpDJY54iq2jnAQ,1.231084,98.919712,50.124371999999994
3300,lNjtlRFnnong2WEwut+R1nn6Ep0v08ILwyXJj4yvI5s8aO3fpiWpDJY54iq2jnAQ,1.210335,98.938469,50.014617
3600,lNjtlRFnnong2WEwut+R1nn6Ep0v08ILwyXJj4yvI5s8aO3fpiWpDJY54iq2jnAQ,1.210559,99.08979000000001,50.10618
3900,lNjtlRFnnong2WEwut+R1nn6Ep0v08ILwyXJj4yvI5s8aO3fpiWpDJY54iq2jnAQ,1.147266,99.05980699999999,50.045246
4200,lNjtlRFnnong2WEwut+R1nn6Ep0v08ILwyXJj4yvI5s8aO3fpiWpDJY54iq2jnAQ,1.1836209999999998,99.052948,50.116027
4500,lNjtlRFnnong2WEwut+R1nn6Ep0v08ILwyXJj4yvI5s8aO3fpiWpDJY54iq2jnAQ,0.498069,41.592452,21.060779
